%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value,field.torques1.timeStamp,field.torques1.joint_uri,field.torques1.unit,field.torques1.value,field.torques2.timeStamp,field.torques2.joint_uri,field.torques2.unit,field.torques2.value
1578500811041227179,,,0.0,0,arm_joint_2,N m,0.76056198026,0,arm_joint_3,N m,0.570709804953,0,arm_joint_4,N m,-0.286781713524
1578500811042232128,,,0.0,0,arm_joint_2,N m,0.758837153528,0,arm_joint_3,N m,0.559081201506,0,arm_joint_4,N m,-0.286816287883
1578500811043236816,,,0.0,0,arm_joint_2,N m,0.758837153528,0,arm_joint_3,N m,0.559081201506,0,arm_joint_4,N m,-0.286816287883
1578500811044184644,,,0.0,0,arm_joint_2,N m,0.742329373391,0,arm_joint_3,N m,0.566684257646,0,arm_joint_4,N m,-0.286895384522
1578500811045226660,,,0.0,0,arm_joint_2,N m,0.740414639417,0,arm_joint_3,N m,0.555028294176,0,arm_joint_4,N m,-0.286937192579
1578500811046231579,,,0.0,0,arm_joint_2,N m,0.738705717528,0,arm_joint_3,N m,0.553690834219,0,arm_joint_4,N m,-0.289364550578
1578500811047255541,,,0.0,0,arm_joint_2,N m,0.749898026887,0,arm_joint_3,N m,0.572880994381,0,arm_joint_4,N m,-0.28702941676
1578500811048230364,,,0.0,0,arm_joint_2,N m,0.734661083371,0,arm_joint_3,N m,0.560749354531,0,arm_joint_4,N m,-0.289409242547
1578500811049234686,,,0.0,0,arm_joint_2,N m,0.732675140939,0,arm_joint_3,N m,0.579775719643,0,arm_joint_4,N m,-0.289519851633
1578500811050238807,,,0.0,0,arm_joint_2,N m,0.732675140939,0,arm_joint_3,N m,0.579775719643,0,arm_joint_4,N m,-0.289519851633
1578500811051206863,,,0.0,0,arm_joint_2,N m,0.742541073239,0,arm_joint_3,N m,0.556735563149,0,arm_joint_4,N m,-0.2871027128
1578500811052231979,,,0.0,0,arm_joint_2,N m,0.742541073239,0,arm_joint_3,N m,0.556735563149,0,arm_joint_4,N m,-0.2871027128
1578500811053235618,,,0.0,0,arm_joint_2,N m,0.726553857375,0,arm_joint_3,N m,0.513357172762,0,arm_joint_4,N m,-0.287004020658
1578500811054219726,,,0.0,0,arm_joint_2,N m,0.726553857375,0,arm_joint_3,N m,0.513357172762,0,arm_joint_4,N m,-0.287004020658
1578500811055234254,,,0.0,0,arm_joint_2,N m,0.711743829385,0,arm_joint_3,N m,0.532558010552,0,arm_joint_4,N m,-0.289442581985
1578500811056236120,,,0.0,0,arm_joint_2,N m,0.722982521506,0,arm_joint_3,N m,0.55179320094,0,arm_joint_4,N m,-0.289494706939
1578500811057229813,,,0.0,0,arm_joint_2,N m,0.720536909572,0,arm_joint_3,N m,0.549681229478,0,arm_joint_4,N m,-0.287336373393
1578500811058218569,,,0.0,0,arm_joint_2,N m,0.718623366285,0,arm_joint_3,N m,0.568825022589,0,arm_joint_4,N m,-0.287418379559
1578500811059241273,,,0.0,0,arm_joint_2,N m,0.730163070839,0,arm_joint_3,N m,0.557407414828,0,arm_joint_4,N m,-0.289635476542
1578500811060237269,,,0.0,0,arm_joint_2,N m,0.715232895564,0,arm_joint_3,N m,0.566220275334,0,arm_joint_4,N m,-0.287308814785
1578500811061237107,,,0.0,0,arm_joint_2,N m,0.726282805471,0,arm_joint_3,N m,0.574965971473,0,arm_joint_4,N m,-0.289811662299
1578500811062220698,,,0.0,0,arm_joint_2,N m,0.711474062894,0,arm_joint_3,N m,0.542762640756,0,arm_joint_4,N m,-0.287400364623
1578500811063220569,,,0.0,0,arm_joint_2,N m,0.709846479525,0,arm_joint_3,N m,0.541506525364,0,arm_joint_4,N m,-0.289820156421
1578500811064203900,,,0.0,0,arm_joint_2,N m,0.708420801283,0,arm_joint_3,N m,0.519810460902,0,arm_joint_4,N m,-0.28736251458
1578500811065251377,,,0.0,0,arm_joint_2,N m,0.706549432698,0,arm_joint_3,N m,0.538952525242,0,arm_joint_4,N m,-0.289830519711
1578500811066236198,,,0.0,0,arm_joint_2,N m,0.706549432698,0,arm_joint_3,N m,0.538952525242,0,arm_joint_4,N m,-0.289830519711
1578500811067236392,,,0.0,0,arm_joint_2,N m,0.702019088901,0,arm_joint_3,N m,0.555819992672,0,arm_joint_4,N m,-0.290171942661
1578500811068233157,,,0.0,0,arm_joint_2,N m,0.702019088901,0,arm_joint_3,N m,0.555819992672,0,arm_joint_4,N m,-0.290171942661
1578500811069233475,,,0.0,0,arm_joint_2,N m,0.686069577306,0,arm_joint_3,N m,0.53292808841,0,arm_joint_4,N m,-0.289944367621
1578500811070229189,,,0.0,0,arm_joint_2,N m,0.686069577306,0,arm_joint_3,N m,0.53292808841,0,arm_joint_4,N m,-0.289944367621
1578500811071256539,,,0.0,0,arm_joint_2,N m,0.671165202153,0,arm_joint_3,N m,0.531524033707,0,arm_joint_4,N m,-0.289964404214
1578500811072233697,,,0.0,0,arm_joint_2,N m,0.682614953754,0,arm_joint_3,N m,0.540581515242,0,arm_joint_4,N m,-0.289984375529
1578500811073230734,,,0.0,0,arm_joint_2,N m,0.668016184366,0,arm_joint_3,N m,0.529035799242,0,arm_joint_4,N m,-0.292358485357
1578500811074244832,,,0.0,0,arm_joint_2,N m,0.692278892929,0,arm_joint_3,N m,0.527618093479,0,arm_joint_4,N m,-0.292430658556
1578500811075236902,,,0.0,0,arm_joint_2,N m,0.664351658666,0,arm_joint_3,N m,0.557011766929,0,arm_joint_4,N m,-0.290082129541
1578500811076224161,,,0.0,0,arm_joint_2,N m,0.674977388155,0,arm_joint_3,N m,0.544640542859,0,arm_joint_4,N m,-0.29269359618
1578500811077230455,,,0.0,0,arm_joint_2,N m,0.686308306246,0,arm_joint_3,N m,0.543300691947,0,arm_joint_4,N m,-0.290322001576
1578500811078244827,,,0.0,0,arm_joint_2,N m,0.671999789257,0,arm_joint_3,N m,0.532037745045,0,arm_joint_4,N m,-0.290046429837
1578500811079215304,,,0.0,0,arm_joint_2,N m,0.683306399316,0,arm_joint_3,N m,0.53071320089,0,arm_joint_4,N m,-0.292470781372
1578500811080216243,,,0.0,0,arm_joint_2,N m,0.668701336909,0,arm_joint_3,N m,0.529401601647,0,arm_joint_4,N m,-0.290078905244
1578500811081262954,,,0.0,0,arm_joint_2,N m,0.666656020621,0,arm_joint_3,N m,0.527891185315,0,arm_joint_4,N m,-0.2925521358
1578500811082232395,,,0.0,0,arm_joint_2,N m,0.664803904336,0,arm_joint_3,N m,0.547031775036,0,arm_joint_4,N m,-0.29021261617
1578500811083247100,,,0.0,0,arm_joint_2,N m,0.663143461773,0,arm_joint_3,N m,0.535411881901,0,arm_joint_4,N m,-0.290228639232
1578500811084233639,,,0.0,0,arm_joint_2,N m,0.663143461773,0,arm_joint_3,N m,0.535411881901,0,arm_joint_4,N m,-0.290228639232
1578500811085257306,,,0.0,0,arm_joint_2,N m,0.65882995233,0,arm_joint_3,N m,0.531805689382,0,arm_joint_4,N m,-0.292913816489
1578500811086228124,,,0.0,0,arm_joint_2,N m,0.65882995233,0,arm_joint_3,N m,0.531805689382,0,arm_joint_4,N m,-0.292913816489
1578500811087194446,,,0.0,0,arm_joint_2,N m,0.655645929155,0,arm_joint_3,N m,0.52932535263,0,arm_joint_4,N m,-0.290333189602
1578500811088270364,,,0.0,0,arm_joint_2,N m,0.655645929155,0,arm_joint_3,N m,0.52932535263,0,arm_joint_4,N m,-0.290333189602
1578500811089265294,,,0.0,0,arm_joint_2,N m,0.667001880983,0,arm_joint_3,N m,0.517680160253,0,arm_joint_4,N m,-0.292769736737
1578500811090219351,,,0.0,0,arm_joint_2,N m,0.652137576872,0,arm_joint_3,N m,0.536814134005,0,arm_joint_4,N m,-0.288033871449
1578500811091250090,,,0.0,0,arm_joint_2,N m,0.650583641079,0,arm_joint_3,N m,0.525258030227,0,arm_joint_4,N m,-0.292805744656
1578500811092250150,,,0.0,0,arm_joint_2,N m,0.648629871801,0,arm_joint_3,N m,0.523798708035,0,arm_joint_4,N m,-0.295252856131
1578500811093249590,,,0.0,0,arm_joint_2,N m,0.648629871801,0,arm_joint_3,N m,0.523798708035,0,arm_joint_4,N m,-0.295252856131
1578500811094233022,,,0.0,0,arm_joint_2,N m,0.644689637186,0,arm_joint_3,N m,0.510231196646,0,arm_joint_4,N m,-0.292989283202
1578500811095239079,,,0.0,0,arm_joint_2,N m,0.642944560567,0,arm_joint_3,N m,0.5191513574,0,arm_joint_4,N m,-0.295410045191
1578500811096247859,,,0.0,0,arm_joint_2,N m,0.654031177609,0,arm_joint_3,N m,0.527949582434,0,arm_joint_4,N m,-0.290704345071
1578500811097257230,,,0.0,0,arm_joint_2,N m,0.652093047634,0,arm_joint_3,N m,0.526385345849,0,arm_joint_4,N m,-0.293178290095
1578500811098231596,,,0.0,0,arm_joint_2,N m,0.650331820575,0,arm_joint_3,N m,0.545679666737,0,arm_joint_4,N m,-0.290633528939
