%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value
1576487406345385074,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406402561334,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406464373920,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406523239432,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406584247884,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406703202552,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406706403032,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406765795111,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406883306409,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406886759532,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487406948724295,,,0.0,1576487406000000000,arm_joint_5,s^-1 rad,0.5
1576487407008016639,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407066858142,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407125882515,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407186661900,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407250191959,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407309501906,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407367862984,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407426270161,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407485456210,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407545134978,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407603926168,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407662108465,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407720815217,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407781180728,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407842342414,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407904403504,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487407966082934,,,0.0,1576487407000000000,arm_joint_5,s^-1 rad,0.5
1576487408024771499,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408084065848,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408144831745,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408265155615,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408268017875,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408326468155,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408385747982,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408444021928,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408504263235,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408565392941,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408624490652,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408684050160,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408743645975,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408859796336,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408862266490,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408924671360,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487408985930969,,,0.0,1576487408000000000,arm_joint_5,s^-1 rad,0.5
1576487409046145028,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409105955778,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409163189027,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409222576226,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409282358953,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409341115792,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409402734925,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409464726585,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409525365764,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409585827421,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,0.5
1576487409652630369,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,-0.5
1576487409725978174,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,-0.5
1576487409783494813,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,-0.5
1576487409843113491,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,-0.5
1576487409903498535,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,-0.5
1576487409963521820,,,0.0,1576487409000000000,arm_joint_5,s^-1 rad,-0.5
1576487410022412277,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410085211472,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410144254585,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410207487378,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410265767941,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410325960054,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410384208073,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410442815289,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410502950579,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410618773756,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410621249335,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410681424144,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410798199371,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410801020520,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410858153733,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410922280104,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487410984162922,,,0.0,1576487410000000000,arm_joint_5,s^-1 rad,-0.5
1576487411045079186,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411107898274,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411169501874,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411229578323,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411291148778,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411351352473,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411411589053,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411528601275,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411531224920,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411592874229,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411669266752,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411729954079,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411787830555,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411846810444,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411905712020,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487411963887234,,,0.0,1576487411000000000,arm_joint_5,s^-1 rad,-0.5
1576487412024191037,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412083402941,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412142762094,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412201685646,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412263333718,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412322763584,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
1576487412381340401,,,0.0,1576487412000000000,arm_joint_5,s^-1 rad,-0.5
