%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.velocities0.timeStamp,field.velocities0.joint_uri,field.velocities0.unit,field.velocities0.value,field.velocities1.timeStamp,field.velocities1.joint_uri,field.velocities1.unit,field.velocities1.value,field.velocities2.timeStamp,field.velocities2.joint_uri,field.velocities2.unit,field.velocities2.value
1576160804971820937,,,0.0,0,arm_joint_2,s^-1 rad,0.00204876810312,0,arm_joint_3,s^-1 rad,-0.00717955315486,0,arm_joint_4,s^-1 rad,-0.00131912704092
1576160804978483799,,,0.0,0,arm_joint_2,s^-1 rad,0.00210146955214,0,arm_joint_3,s^-1 rad,-0.00736434292048,0,arm_joint_4,s^-1 rad,-0.00135308131576
1576160804985146484,,,0.0,0,arm_joint_2,s^-1 rad,0.00209139776416,0,arm_joint_3,s^-1 rad,-0.0073291468434,0,arm_joint_4,s^-1 rad,-0.00134661688935
1576160804991883575,,,0.0,0,arm_joint_2,s^-1 rad,0.00206330791116,0,arm_joint_3,s^-1 rad,-0.00723080849275,0,arm_joint_4,s^-1 rad,-0.0013285507448
1576160804998482541,,,0.0,0,arm_joint_2,s^-1 rad,0.00106889696326,0,arm_joint_3,s^-1 rad,-0.00374597404152,0,arm_joint_4,s^-1 rad,-0.000688266649377
1576160805005186538,,,0.0,0,arm_joint_2,s^-1 rad,0.00105426798109,0,arm_joint_3,s^-1 rad,-0.00369466887787,0,arm_joint_4,s^-1 rad,-0.000678844342474
1576160805011853320,,,0.0,0,arm_joint_2,s^-1 rad,0.00200859596953,0,arm_joint_3,s^-1 rad,-0.00703946175054,0,arm_joint_4,s^-1 rad,-0.00129340239801
1576160805018513348,,,0.0,0,arm_joint_2,s^-1 rad,0.00210134964436,0,arm_joint_3,s^-1 rad,-0.00736445141956,0,arm_joint_4,s^-1 rad,-0.00135312322527
1576160805025158312,,,0.0,0,arm_joint_2,s^-1 rad,0.00209136796184,0,arm_joint_3,s^-1 rad,-0.00732967397198,0,arm_joint_4,s^-1 rad,-0.00134673761204
1576160805031812145,,,0.0,0,arm_joint_2,s^-1 rad,0.002047768794,0,arm_joint_3,s^-1 rad,-0.00717706838623,0,arm_joint_4,s^-1 rad,-0.00131870235782
1576160805038495541,,,0.0,0,arm_joint_2,s^-1 rad,0.00107187964022,0,arm_joint_3,s^-1 rad,-0.0037569028791,0,arm_joint_4,s^-1 rad,-0.000690290529747
1576160805045140112,,,0.0,0,arm_joint_2,s^-1 rad,0.00105445249937,0,arm_joint_3,s^-1 rad,-0.00369597435929,0,arm_joint_4,s^-1 rad,-0.000679098942783
1576160805051884102,,,0.0,0,arm_joint_2,s^-1 rad,0.00200735148974,0,arm_joint_3,s^-1 rad,-0.00703672831878,0,arm_joint_4,s^-1 rad,-0.00129292625934
1576160805058642842,,,0.0,0,arm_joint_2,s^-1 rad,0.00206416053697,0,arm_joint_3,s^-1 rad,-0.00723606720567,0,arm_joint_4,s^-1 rad,-0.00132955727167
1576160805065201624,,,0.0,0,arm_joint_2,s^-1 rad,0.0010543334065,0,arm_joint_3,s^-1 rad,-0.00369633710943,0,arm_joint_4,s^-1 rad,-0.000679167627823
1576160805071825576,,,0.0,0,arm_joint_2,s^-1 rad,0.00202139723115,0,arm_joint_3,s^-1 rad,-0.00708674173802,0,arm_joint_4,s^-1 rad,-0.00130213308148
1576160805078638788,,,0.0,0,arm_joint_2,s^-1 rad,0.00206376146525,0,arm_joint_3,s^-1 rad,-0.00723583716899,0,arm_joint_4,s^-1 rad,-0.00132953119464
1576160805085218278,,,0.0,0,arm_joint_2,s^-1 rad,0.00105437589809,0,arm_joint_3,s^-1 rad,-0.00369680253789,0,arm_joint_4,s^-1 rad,-0.00067926524207
1576160805091818893,,,0.0,0,arm_joint_2,s^-1 rad,0.0020205671899,0,arm_joint_3,s^-1 rad,-0.00708471657708,0,arm_joint_4,s^-1 rad,-0.00130178034306
1576160805098477616,,,0.0,0,arm_joint_2,s^-1 rad,0.00209088833071,0,arm_joint_3,s^-1 rad,-0.00733157899231,0,arm_joint_4,s^-1 rad,-0.00134714704473
1576160805105151905,,,0.0,0,arm_joint_2,s^-1 rad,0.00106906483416,0,arm_joint_3,s^-1 rad,-0.00374871958047,0,arm_joint_4,s^-1 rad,-0.000688813743182
