K,delta_M
0.723,0.815976015844833
0.724,0.815585791296877
0.725,0.815195961827858
0.726,0.814806527748309
0.727,0.814417489365765
0.728,0.814028846984771
0.729,0.813640600906916
0.73,0.813252751430842
0.731,0.812865298852287
0.732,0.812478243464075
0.733,0.812091585556172
0.734,0.811705325415671
0.735,0.81131946332685
0.736,0.810933999571158
0.737,0.810548934427254
0.738,0.810164268171032
0.739,0.809780001075617
0.74,0.809396133411413
0.741,0.809012665446103
0.742,0.808629597444676
0.743,0.80824692966944
0.744,0.80786466238005
0.745,0.807482795833522
0.746,0.807101330284249
0.747,0.806720265984017
0.748,0.80633960318204
0.749,0.80595934212495
0.75,0.80557948305684
0.751,0.805200026219267
0.752,0.804820971851284
0.753,0.804442320189432
0.754,0.804064071467786
0.755,0.803686225917943
0.756,0.803308783769069
0.757,0.802931745247894
0.758,0.802555110578735
0.759,0.802178879983509
0.76,0.801803053681759
0.761,0.801427631890661
0.762,0.801052614825035
0.763,0.800678002697377
0.764,0.800303795717859
0.765,0.799929994094353
0.766,0.799556598032441
0.767,0.799183607735437
0.768,0.798811023404392
0.769,0.798438845238116
0.77,0.798067073433195
0.771,0.797695708183994
0.772,0.797324749682685
0.773,0.79695419811925
0.774,0.796584053681503
0.775,0.796214316555101
0.776,0.795844986923551
0.777,0.795476064968237
0.778,0.795107550868431
0.779,0.794739444801288
0.78,0.794371746941888
0.781,0.794004457463228
0.782,0.793627865041
0.783,0.793193690756212
0.784,0.792759777482673
0.785,0.792326125673904
0.786,0.791892735781083
0.787,0.791459608253063
0.788,0.791026743536399
0.789,0.790594142075354
0.79,0.790161804311921
0.791,0.78972973068584
0.792,0.789297921634604
0.793,0.788866377593482
0.794,0.788435098995539
0.795,0.788004086271626
0.796,0.787573339850439
0.797,0.787142860158496
0.798,0.786712647620147
0.799,0.786282702657641
0.8,0.785853025691075
0.801,0.785423617138456
0.802,0.784994477415682
0.803,0.784565606936588
0.804,0.784137006112928
0.805,0.783708675354419
0.806,0.783280615068725
0.807,0.782852825661498
0.808,0.782425307536367
0.809,0.781998061094973
0.81,0.781571086736972
0.811,0.78114438486004
0.812,0.780717955859897
0.813,0.780291800130324
0.814,0.779865918063163
0.815,0.779440310048333
0.816,0.779014976473854
0.817,0.778589917725841
0.818,0.77816513418853
0.819,0.777740626244289
0.82,0.777316394273623
0.821,0.776892438655187
0.822,0.77646875976581
0.823,0.776045357980487
0.824,0.775622233672413
0.825,0.77519938721297
0.826,0.774776818971764
0.827,0.774354529316617
0.828,0.773932518613584
0.829,0.773510787226969
0.83,0.77308933551933
0.831,0.772668163851495
0.832,0.772247272582565
0.833,0.771826662069937
0.834,0.771406332669305
0.835,0.770986284734675
0.836,0.770566518618364
0.837,0.770147034671035
0.838,0.769727833241687
0.839,0.769308914677669
0.84,0.76889027932469
0.841,0.768471927526843
0.842,0.76805385962659
0.843,0.767636075964796
0.844,0.76721857688072
0.845,0.766801362712032
0.846,0.766384433794835
0.847,0.765967790463657
0.848,0.765551433051461
0.849,0.765135361889671
0.85,0.764719577308159
0.851,0.764304079635278
0.852,0.76388886919785
0.853,0.763473946321191
0.854,0.763059311329106
0.855,0.762644964543911
0.856,0.762230906286435
0.857,0.761817136876031
0.858,0.76140365663058
0.859,0.760990465866508
0.86,0.760577564898789
