t;f1;frec1;fval1;fvalrec1;f2;frec2;fval2;fvalrec2;f3;frec3;fval3;fvalrec3;f4;frec4;fval4;fvalrec4;f5;frec5;fval5;fvalrec5;f6;frec6;fval6;fvalrec6;f7;frec7;fval7;fvalrec7;f8;frec8;fval8;fvalrec8;f9;frec9;fval9;fvalrec9;f10;frec10;fval10;fvalrec10;f11;frec11;fval11;fvalrec11
56;3.4028;3.5854;0.37584;0.55674;4.2454;4.7894;0.29665;0.29096;4.1117;3.8559;0.15892;0.054394;7.2102;7.727;-0.14982;-0.26902;4.4037;5.2875;-0.61632;-0.49661;-5.4504;-5.0522;-0.053865;-0.13241;3.8528;4.3227;-0.67118;-0.52348;-5.0793;-4.6997;-1.1869;-1.1483;-4.3009;-3.7935;0.82834;0.21972;-5.4056;-5.1166;-0.70227;-0.44879;-4.476;-4.2859;-0.92489;-0.74901
57;3.3504;3.5419;0.38717;0.56885;4.2019;4.7495;0.30584;0.30638;4.1541;3.9573;0.14672;0.062038;7.1865;7.7595;-0.15687;-0.2751;4.3776;5.2874;-0.60771;-0.49902;-5.5705;-5.177;-0.047228;-0.13156;3.8163;4.3603;-0.67424;-0.52673;-5.1655;-4.8035;-1.2185;-1.1744;-4.3582;-3.8786;0.82787;0.22007;-5.4683;-5.1954;-0.71799;-0.47618;-4.5623;-4.3738;-0.93472;-0.77296
58;3.3041;3.4963;0.3983;0.57831;4.1613;4.7039;0.31549;0.3246;4.1839;4.0488;0.1338;0.070344;7.1603;7.7814;-0.16473;-0.28046;4.3572;5.2867;-0.59786;-0.49998;-5.6778;-5.2972;-0.041037;-0.13318;3.7835;4.3969;-0.67623;-0.53132;-5.2414;-4.9042;-1.2494;-1.1996;-4.4053;-3.9621;0.826;0.22067;-5.5222;-5.2707;-0.73339;-0.50478;-4.6391;-4.4585;-0.94301;-0.79537
59;3.2637;3.449;0.40923;0.58455;4.1232;4.6534;0.32559;0.34582;4.202;4.1295;0.12031;0.079041;7.1314;7.7934;-0.17329;-0.28508;4.3418;5.2865;-0.58689;-0.50009;-5.773;-5.4124;-0.035305;-0.13772;3.7538;4.4299;-0.67714;-0.53677;-5.3074;-5.0017;-1.2793;-1.2238;-4.4431;-4.0445;0.82288;0.22146;-5.5677;-5.3423;-0.74845;-0.53436;-4.7065;-4.54;-0.9498;-0.81559
60;3.2292;3.4003;0.41995;0.58721;4.0868;4.5988;0.33613;0.37016;4.2091;4.1986;0.10642;0.087896;7.1;7.7961;-0.18243;-0.28901;4.3309;5.2865;-0.57491;-0.5001;-5.8569;-5.5224;-0.030067;-0.14549;3.7267;4.4566;-0.67698;-0.54261;-5.3643;-5.096;-1.3083;-1.2468;-4.4729;-4.1266;0.81865;0.22237;-5.6054;-5.41;-0.76316;-0.56454;-4.7647;-4.6178;-0.95515;-0.83318
61;3.1998;3.3509;0.43049;0.5862;4.0516;4.5411;0.34709;0.39761;4.2062;4.2558;0.092297;0.096717;7.0661;7.7899;-0.19202;-0.29229;4.3237;5.285;-0.56205;-0.50094;-5.9306;-5.6268;-0.025369;-0.1566;3.7017;4.4751;-0.67579;-0.54839;-5.4129;-5.1872;-1.3362;-1.2687;-4.4956;-4.2081;0.81343;0.22327;-5.6357;-5.4736;-0.77749;-0.59483;-4.8144;-4.6913;-0.95912;-0.84811
62;3.1751;3.3014;0.44084;0.58187;4.0167;4.4813;0.35844;0.42776;4.1939;4.3013;0.078092;0.10533;7.0299;7.775;-0.20191;-0.29495;4.3194;5.2799;-0.54843;-0.50355;-5.9951;-5.7256;-0.021254;-0.17094;3.6781;4.4841;-0.67359;-0.55386;-5.4542;-5.2756;-1.3628;-1.289;-4.5125;-4.2882;0.80733;0.224;-5.6595;-5.5329;-0.79143;-0.6246;-4.8564;-4.76;-0.96177;-0.86065
63;3.1543;3.2523;0.451;0.57498;3.9817;4.4204;0.3702;0.45968;4.1733;4.3358;0.0639;0.11356;6.9915;7.7515;-0.21191;-0.29704;4.3171;5.2693;-0.53415;-0.50867;-6.0516;-5.8188;-0.01776;-0.18813;3.6553;4.4827;-0.67044;-0.55897;-5.4893;-5.3619;-1.388;-1.3075;-4.5248;-4.3657;0.80042;0.22436;-5.6774;-5.5874;-0.80501;-0.65305;-4.8917;-4.8234;-0.96317;-0.87118
64;3.1367;3.2044;0.46095;0.56654;3.9459;4.3593;0.38236;0.49202;4.1452;4.3598;0.049765;0.12124;6.9514;7.7198;-0.22186;-0.29858;4.3162;5.2515;-0.51932;-0.51655;-6.1009;-5.9064;-0.014914;-0.20749;3.6326;4.4706;-0.66636;-0.56379;-5.519;-5.446;-1.4117;-1.324;-4.5333;-4.4393;0.79274;0.22418;-5.6902;-5.6371;-0.8183;-0.67919;-4.9212;-4.8813;-0.9634;-0.88003
65;3.1215;3.1579;0.47066;0.55753;3.909;4.2988;0.39492;0.52336;4.1108;4.3736;0.035702;0.12819;6.91;7.6801;-0.23162;-0.29963;4.3161;5.2247;-0.50409;-0.52699;-6.144;-5.9886;-0.012745;-0.22787;3.6098;4.4479;-0.66139;-0.56838;-5.5443;-5.5276;-1.4338;-1.3385;-4.5389;-4.508;0.78437;0.22329;-5.6986;-5.6814;-0.83143;-0.70178;-4.9459;-4.9334;-0.96259;-0.88751
66;3.108;3.1129;0.48009;0.54876;3.8707;4.2395;0.40787;0.55246;4.071;4.3776;0.021724;0.13425;6.868;7.6332;-0.24108;-0.30025;4.3165;5.1874;-0.48863;-0.53947;-6.1817;-6.0658;-0.011277;-0.24756;3.5865;4.4147;-0.65555;-0.5727;-5.5663;-5.6058;-1.454;-1.3507;-4.5422;-4.571;0.77539;0.22155;-5.7033;-5.7203;-0.84451;-0.71931;-4.9664;-4.9795;-0.96086;-0.89389
67;3.0955;3.0697;0.48919;0.54089;3.8311;4.1819;0.4212;0.57835;4.027;4.3719;0.0078575;0.1393;6.8262;7.5798;-0.25018;-0.30055;4.3169;5.1392;-0.47315;-0.5533;-6.2153;-6.138;-0.010519;-0.26457;3.5626;4.3714;-0.64888;-0.57663;-5.5857;-5.6795;-1.4722;-1.3609;-4.5436;-4.6279;0.76584;0.21886;-5.7049;-5.7535;-0.85765;-0.73012;-4.9833;-5.0197;-0.95837;-0.89937
68;3.0834;3.0282;0.49791;0.53436;3.7902;4.1262;0.4349;0.60027;3.9797;4.3569;-0.0058531;0.14329;6.7853;7.5205;-0.25885;-0.30063;4.3175;5.0805;-0.4579;-0.56758;-6.2455;-6.2049;-0.010444;-0.277;3.5379;4.3187;-0.64142;-0.57996;-5.603;-5.7479;-1.4883;-1.369;-4.5434;-4.6781;0.75572;0.21516;-5.7038;-5.781;-0.87095;-0.73263;-4.9969;-5.0542;-0.95523;-0.90405
69;3.0714;2.9884;0.50619;0.52944;3.7483;4.0726;0.44896;0.61777;3.9303;4.333;-0.01935;0.14618;6.7464;7.4561;-0.26704;-0.30061;4.3181;5.013;-0.44313;-0.58121;-6.2729;-6.2664;-0.010984;-0.2834;3.5125;4.2575;-0.63322;-0.58243;-5.6186;-5.8103;-1.502;-1.3751;-4.5415;-4.7217;0.74504;0.21042;-5.7005;-5.803;-0.88447;-0.72602;-5.0079;-5.0834;-0.95153;-0.90789
70;3.0593;2.9504;0.51397;0.52612;3.7059;4.0209;0.46336;0.63076;3.8799;4.3014;-0.032555;0.14797;6.7101;7.3873;-0.27474;-0.30062;4.3188;4.9387;-0.42909;-0.59302;-6.2978;-6.3224;-0.01204;-0.28279;3.4866;4.1888;-0.62432;-0.58386;-5.6328;-5.8664;-1.5132;-1.3793;-4.538;-4.7584;0.73379;0.20465;-5.695;-5.8198;-0.89831;-0.71065;-5.0167;-5.1077;-0.94732;-0.91071
71;3.0468;2.914;0.5212;0.52409;3.6633;3.9712;0.47804;0.63967;3.8295;4.2634;-0.045349;0.14868;6.6774;7.3149;-0.28198;-0.30077;4.3196;4.8597;-0.41604;-0.60195;-6.3203;-6.3728;-0.013504;-0.27471;3.4604;4.114;-0.61474;-0.58415;-5.6455;-5.9159;-1.5219;-1.3817;-4.5328;-4.7885;0.72195;0.19792;-5.6875;-5.8317;-0.91252;-0.68793;-5.0239;-5.1277;-0.94263;-0.91223
72;3.0342;2.8795;0.52783;0.52282;3.6213;3.9231;0.49288;0.64537;3.7802;4.2204;-0.057569;0.14832;6.6487;7.2395;-0.28887;-0.30118;4.3207;4.7775;-0.40419;-0.60737;-6.3401;-6.4175;-0.015291;-0.25916;3.4343;4.0344;-0.60455;-0.58327;-5.657;-5.9588;-1.5278;-1.3823;-4.5257;-4.812;0.70954;0.1903;-5.6779;-5.8389;-0.92718;-0.66004;-5.0297;-5.1439;-0.93748;-0.91214
73;3.0214;2.8468;0.53385;0.52173;3.5803;3.8765;0.50773;0.64894;3.7332;4.1737;-0.069028;0.14689;6.6246;7.162;-0.29556;-0.30194;4.3221;4.6938;-0.39373;-0.60911;-6.3572;-6.4568;-0.017356;-0.23676;3.4088;3.9515;-0.59382;-0.58119;-5.6669;-5.9951;-1.531;-1.3814;-4.5164;-4.8294;0.69655;0.18192;-5.6663;-5.8419;-0.94236;-0.62966;-5.0343;-5.157;-0.93185;-0.91012
74;3.0088;2.816;0.53922;0.52028;3.5411;3.8311;0.52241;0.65143;3.6891;4.1243;-0.079537;0.1444;6.6055;7.0833;-0.30219;-0.3031;4.3238;4.6095;-0.3848;-0.60739;-6.3714;-6.4907;-0.019689;-0.20886;3.3845;3.8667;-0.58262;-0.57783;-5.6752;-6.0251;-1.5312;-1.379;-4.5047;-4.8409;0.68297;0.17292;-5.6524;-5.8409;-0.95809;-0.60004;-5.0375;-5.1676;-0.9257;-0.90586
75;2.9964;2.7872;0.54397;0.51803;3.5043;3.7867;0.53672;0.65374;3.6487;4.0732;-0.088927;0.14088;6.5914;7.0043;-0.30889;-0.30466;4.3258;4.5257;-0.37748;-0.6027;-6.3826;-6.5196;-0.022284;-0.17743;3.3619;3.781;-0.57104;-0.5731;-5.6817;-6.0488;-1.5286;-1.3752;-4.4903;-4.8469;0.66877;0.16346;-5.6363;-5.8362;-0.97438;-0.57493;-5.0393;-5.176;-0.919;-0.89908
76;2.9847;2.7602;0.54816;0.51464;3.4705;3.7431;0.55046;0.65669;3.6122;4.0211;-0.097058;0.13636;6.5821;6.9257;-0.31572;-0.30657;4.3278;4.443;-0.37182;-0.59572;-6.3906;-6.5435;-0.025143;-0.14459;3.3417;3.6957;-0.55916;-0.56686;-5.6862;-6.0667;-1.523;-1.37;-4.4731;-4.848;0.65394;0.15376;-5.6179;-5.828;-0.99119;-0.5583;-5.0394;-5.1821;-0.91164;-0.88952
77;2.9739;2.7352;0.55189;0.50987;3.4403;3.7003;0.56346;0.66093;3.5797;3.9685;-0.10382;0.13088;6.5772;6.8484;-0.32274;-0.30877;4.3296;4.3617;-0.36785;-0.58738;-6.3949;-6.5628;-0.028278;-0.1123;3.3245;3.6117;-0.5471;-0.55903;-5.6883;-6.0793;-1.5147;-1.3635;-4.453;-4.8445;0.63849;0.14407;-5.5972;-5.8166;-1.0084;-0.55352;-5.0377;-5.1858;-0.90356;-0.87709
78;2.9642;2.7118;0.55526;0.50369;3.4143;3.6581;0.57556;0.66689;3.5512;3.916;-0.10912;0.1245;6.576;6.7726;-0.33002;-0.31118;4.3307;4.2819;-0.3656;-0.5788;-6.3953;-6.5776;-0.031732;-0.082122;3.3107;3.5304;-0.53493;-0.54958;-5.6881;-6.0871;-1.5038;-1.3555;-4.43;-4.8367;0.62247;0.13468;-5.5742;-5.8021;-1.026;-0.56251;-5.034;-5.1865;-0.89468;-0.86189
79;2.9557;2.6901;0.55841;0.49626;3.3929;3.6166;0.58666;0.67462;3.5263;3.864;-0.1129;0.11725;6.5773;6.6983;-0.3376;-0.31371;4.3306;4.2036;-0.36508;-0.57116;-6.3916;-6.5884;-0.035569;-0.055292;3.3005;3.453;-0.52274;-0.53869;-5.6852;-6.0906;-1.4903;-1.346;-4.4041;-4.8249;0.60595;0.12593;-5.5491;-5.7848;-1.0438;-0.58554;-5.0281;-5.1839;-0.88493;-0.8443
80;2.9485;2.6698;0.56146;0.48797;3.3765;3.5757;0.59666;0.68369;3.5046;3.8129;-0.11513;0.10914;6.58;6.6256;-0.34547;-0.31626;4.3291;4.1267;-0.36627;-0.5654;-6.3837;-6.5952;-0.039859;-0.032697;3.2941;3.3808;-0.51058;-0.52667;-5.6797;-6.0903;-1.4744;-1.3349;-4.3757;-4.8092;0.58906;0.11816;-5.5223;-5.7647;-1.0616;-0.62181;-5.0199;-5.1778;-0.87431;-0.82493
81;2.9427;2.6509;0.56448;0.47923;3.3653;3.5356;0.60556;0.69338;3.4856;3.7627;-0.11579;0.10019;6.5826;6.5544;-0.3536;-0.31875;4.3255;4.0511;-0.36911;-0.56201;-6.3718;-6.5985;-0.044657;-0.014909;3.2916;3.3147;-0.4985;-0.51399;-5.6717;-6.0866;-1.4564;-1.3222;-4.345;-4.7899;0.57191;0.11169;-5.494;-5.742;-1.0794;-0.66978;-5.0092;-5.1678;-0.86285;-0.80457
82;2.9379;2.6332;0.56755;0.47041;3.3593;3.4962;0.61337;0.70292;3.4688;3.7137;-0.11494;0.090385;6.5836;6.4843;-0.3619;-0.32109;4.3196;3.9766;-0.37351;-0.56113;-6.3561;-6.5985;-0.049989;-0.0021697;3.2928;3.2552;-0.48652;-0.5012;-5.6613;-6.0795;-1.4364;-1.3078;-4.3125;-4.7673;0.55462;0.10682;-5.4648;-5.7168;-1.0969;-0.72739;-4.9961;-5.1537;-0.85061;-0.78422
83;2.934;2.6169;0.57071;0.46182;3.3584;3.4576;0.62019;0.71167;3.4537;3.666;-0.11266;0.079709;6.5814;6.415;-0.37026;-0.32326;4.3109;3.9033;-0.37939;-0.56267;-6.3369;-6.5954;-0.055849;0.0055865;3.2973;3.2019;-0.47467;-0.48899;-5.6487;-6.0691;-1.4147;-1.2918;-4.2788;-4.7416;0.5373;0.10379;-5.435;-5.6893;-1.1139;-0.792;-4.9806;-5.1354;-0.83769;-0.76507
84;2.9306;2.6019;0.57398;0.45366;3.3624;3.4197;0.62614;0.71913;3.4397;3.6194;-0.10907;0.068165;6.5745;6.3462;-0.37857;-0.32524;4.2991;3.8308;-0.38666;-0.56646;-6.315;-6.5893;-0.062212;0.0086416;3.3049;3.1538;-0.46293;-0.47819;-5.6344;-6.0552;-1.3916;-1.2743;-4.2447;-4.7134;0.52004;0.10278;-5.4053;-5.6596;-1.1303;-0.86054;-4.9627;-5.1131;-0.82418;-0.74852
85;2.9272;2.5881;0.57735;0.44607;3.3707;3.3827;0.63135;0.72495;3.4265;3.574;-0.10431;0.055764;6.5616;6.2774;-0.3867;-0.32703;4.2838;3.7591;-0.39527;-0.57222;-6.291;-6.5802;-0.069042;0.0073849;3.3149;3.11;-0.45128;-0.46963;-5.6189;-6.0379;-1.3674;-1.2555;-4.2108;-4.683;0.50293;0.10394;-5.376;-5.6279;-1.1459;-0.93004;-4.9429;-5.0873;-0.81016;-0.73594
86;2.9233;2.5755;0.58078;0.43911;3.3826;3.3464;0.63597;0.7289;3.4138;3.5298;-0.098559;0.042526;6.5413;6.2085;-0.39447;-0.32861;4.2648;3.6881;-0.40518;-0.57961;-6.2658;-6.568;-0.076307;0.0022398;3.3268;3.0689;-0.43967;-0.4639;-5.6024;-6.0173;-1.3422;-1.2354;-4.1779;-4.6507;0.48601;0.10738;-5.3477;-5.5944;-1.1607;-0.99825;-4.9214;-5.0584;-0.79573;-0.72829
87;2.9184;2.5641;0.58419;0.43278;3.3972;3.311;0.64013;0.73097;3.4014;3.4869;-0.09197;0.028472;6.513;6.1395;-0.40168;-0.32997;4.2418;3.6177;-0.41632;-0.58822;-6.2399;-6.5528;-0.083964;-0.0063622;3.3398;3.0289;-0.42806;-0.46109;-5.5857;-5.9932;-1.3163;-1.2143;-4.1468;-4.6166;0.46932;0.11311;-5.3207;-5.5594;-1.1744;-1.0639;-4.8987;-5.0269;-0.78099;-0.72585
88;2.9119;2.5538;0.58746;0.42702;3.4134;3.2763;0.64394;0.73129;3.389;3.4452;-0.084713;0.013624;6.4759;6.0703;-0.40812;-0.33109;4.2147;3.548;-0.42862;-0.59766;-6.214;-6.5343;-0.091941;-0.017983;3.3529;2.9883;-0.41644;-0.46085;-5.5689;-5.9658;-1.29;-1.1922;-4.1182;-4.5809;0.45283;0.12111;-5.2954;-5.5233;-1.187;-1.1261;-4.875;-4.9934;-0.76606;-0.72836
89;2.9034;2.5445;0.5905;0.42174;3.4301;3.2425;0.64754;0.73017;3.3768;3.405;-0.076944;-0.0019998;6.4297;6.0007;-0.41358;-0.33195;4.1835;3.4794;-0.44198;-0.60762;-6.1884;-6.5125;-0.10012;-0.032157;3.3654;2.9449;-0.40482;-0.46251;-5.5526;-5.9351;-1.2634;-1.1691;-4.0925;-4.5437;0.43655;0.13126;-5.272;-5.4862;-1.1983;-1.1842;-4.851;-4.9581;-0.75108;-0.73537
90;2.8925;2.5362;0.59319;0.41682;3.4465;3.2096;0.65103;0.72797;3.3645;3.3661;-0.068803;-0.018384;6.3743;5.9304;-0.41791;-0.33252;4.148;3.412;-0.45627;-0.61785;-6.1633;-6.4871;-0.10839;-0.048344;3.3762;2.8967;-0.39326;-0.46521;-5.537;-5.9012;-1.237;-1.1451;-4.0703;-4.505;0.42045;0.14334;-5.2503;-5.4484;-1.2083;-1.2374;-4.8268;-4.9217;-0.73622;-0.74647
91;2.8788;2.5288;0.59546;0.41216;3.4615;3.1776;0.65451;0.72503;3.3524;3.3286;-0.060403;-0.035505;6.3101;5.8591;-0.42099;-0.33278;4.1082;3.3462;-0.47135;-0.62811;-6.139;-6.4579;-0.11664;-0.065914;3.3848;2.8426;-0.38182;-0.4679;-5.5222;-5.8645;-1.2108;-1.1198;-4.0516;-4.4651;0.40448;0.15705;-5.2305;-5.4103;-1.217;-1.2845;-4.8029;-4.8844;-0.72164;-0.7613
92;2.8619;2.5223;0.59722;0.40767;3.4745;3.1465;0.65807;0.72171;3.3402;3.2925;-0.051821;-0.053328;6.2374;5.7861;-0.42271;-0.33271;4.0642;3.2821;-0.48708;-0.63814;-6.1155;-6.425;-0.12482;-0.084197;3.3903;2.7826;-0.37057;-0.46928;-5.5085;-5.8251;-1.1851;-1.0929;-4.0367;-4.4242;0.3886;0.17195;-5.2123;-5.3722;-1.2244;-1.3243;-4.7794;-4.8463;-0.70744;-0.77954
93;2.8417;2.5166;0.59842;0.40326;3.485;3.1166;0.66175;0.71833;3.3281;3.2576;-0.043093;-0.0718;6.1571;5.7112;-0.42302;-0.33228;4.0161;3.2194;-0.50326;-0.64767;-6.0929;-6.3882;-0.13291;-0.1026;3.3922;2.7172;-0.35958;-0.46798;-5.4959;-5.7833;-1.16;-1.064;-4.0253;-4.3826;0.37275;0.18749;-5.1956;-5.3344;-1.2307;-1.3556;-4.7566;-4.8074;-0.69372;-0.80082
94;2.818;2.5118;0.59904;0.39897;3.4921;3.0878;0.66559;0.71512;3.3159;3.2239;-0.034221;-0.090848;6.07;5.6338;-0.42187;-0.33146;3.9642;3.1577;-0.51965;-0.65638;-6.0712;-6.3477;-0.14093;-0.12068;3.39;2.6471;-0.34895;-0.46277;-5.4844;-5.7394;-1.1356;-1.0324;-4.0172;-4.3404;0.35683;0.20294;-5.18;-5.2972;-1.2359;-1.3777;-4.7346;-4.7674;-0.68054;-0.8246
95;2.7905;2.5077;0.59906;0.39499;3.4954;3.0604;0.66957;0.71216;3.3035;3.1911;-0.025187;-0.11038;5.9771;5.554;-0.41928;-0.33021;3.9086;3.0963;-0.53599;-0.66396;-6.0501;-6.3034;-0.14893;-0.13817;3.3834;2.5728;-0.33876;-0.45305;-5.4741;-5.6937;-1.112;-0.99739;-4.0118;-4.2976;0.34079;0.21747;-5.1651;-5.2609;-1.2401;-1.3907;-4.7134;-4.7265;-0.66798;-0.85002
96;2.7593;2.5042;0.59855;0.3917;3.4943;3.0344;0.67368;0.7092;3.2905;3.1592;-0.015963;-0.13029;5.8794;5.4715;-0.41535;-0.32847;3.8498;3.0349;-0.55198;-0.6701;-6.0294;-6.2556;-0.15693;-0.15494;3.372;2.4943;-0.32916;-0.43899;-5.4649;-5.6463;-1.0892;-0.95823;-4.0086;-4.2545;0.32455;0.23021;-5.1506;-5.2258;-1.2432;-1.3953;-4.6931;-4.6844;-0.65611;-0.87582
97;2.7242;2.5014;0.59759;0.38957;3.4884;3.0099;0.67783;0.70572;3.2768;3.1279;-0.0065279;-0.15045;5.7778;5.3866;-0.41016;-0.32623;3.788;2.9733;-0.56738;-0.67456;-6.0087;-6.2044;-0.16502;-0.17105;3.3558;2.4112;-0.32024;-0.42128;-5.4565;-5.5975;-1.0672;-0.91439;-4.0069;-4.2108;0.30807;0.24059;-5.136;-5.1923;-1.2454;-1.3928;-4.6735;-4.6412;-0.64504;-0.90047
98;2.6853;2.499;0.59629;0.389;3.4774;2.9872;0.68194;0.70112;3.2621;3.0971;0.0031243;-0.1707;5.6734;5.2993;-0.40385;-0.32347;3.7237;2.9112;-0.58196;-0.67715;-5.9876;-6.1501;-0.17324;-0.18675;3.3348;2.3233;-0.31213;-0.40093;-5.4487;-5.5475;-1.046;-0.86572;-4.006;-4.1667;0.2913;0.24856;-5.1209;-5.1605;-1.2467;-1.3847;-4.6546;-4.597;-0.63486;-0.9222
99;2.6427;2.497;0.5948;0.39027;3.4615;2.966;0.68589;0.69485;3.246;3.0665;0.012983;-0.19088;5.567;5.2099;-0.39655;-0.32023;3.6573;2.8487;-0.59557;-0.67777;-5.9657;-6.093;-0.18168;-0.20248;3.3093;2.2309;-0.30492;-0.37912;-5.4413;-5.4964;-1.0255;-0.81243;-4.0052;-4.1219;0.27423;0.25438;-5.105;-5.1304;-1.2469;-1.3727;-4.6361;-4.5519;-0.62562;-0.939
100;2.5964;2.4953;0.59326;0.39357;3.4407;2.9465;0.68955;0.68648;3.2282;3.0361;0.02302;-0.21078;5.4594;5.1189;-0.3884;-0.31663;3.5893;2.7857;-0.60811;-0.67634;-5.9427;-6.0332;-0.19036;-0.21888;3.2794;2.1352;-0.29871;-0.35723;-5.434;-5.4443;-1.0056;-0.75519;-4.0036;-4.0763;0.25686;0.25836;-5.088;-5.1022;-1.2463;-1.3591;-4.6178;-4.5059;-0.61732;-0.9488
101;2.5466;2.4938;0.59183;0.39897;3.4153;2.9282;0.69281;0.67568;3.2083;3.0055;0.033177;-0.23019;5.3515;5.0268;-0.37951;-0.3128;3.5201;2.7224;-0.61951;-0.67286;-5.9181;-5.9708;-0.19933;-0.23657;3.2454;2.0382;-0.29357;-0.33681;-5.4264;-5.3913;-0.98619;-0.69504;-4.0007;-4.0299;0.23918;0.26073;-5.0694;-5.0755;-1.2448;-1.346;-4.5993;-4.4592;-0.60998;-0.94988
102;2.4936;2.4924;0.59061;0.40648;3.3855;2.9111;0.69561;0.66224;3.1863;2.9749;0.043346;-0.24887;5.2437;4.9337;-0.37001;-0.30888;3.4503;2.6589;-0.62973;-0.66737;-5.8915;-5.9056;-0.2086;-0.25604;3.2077;1.9423;-0.28958;-0.31929;-5.4182;-5.3375;-0.96718;-0.63354;-3.9957;-3.9823;0.22117;0.26166;-5.049;-5.05;-1.2425;-1.3351;-4.5804;-4.4118;-0.60357;-0.94144
103;2.4375;2.4909;0.58971;0.41595;3.3516;2.8947;0.69792;0.64615;3.1619;2.9442;0.053372;-0.26655;5.1367;4.8398;-0.36001;-0.30503;3.3802;2.5953;-0.63878;-0.65996;-5.8624;-5.8377;-0.21818;-0.27763;3.1667;1.85;-0.28679;-0.3056;-5.4089;-5.2831;-0.94849;-0.57266;-3.9881;-3.9337;0.20281;0.26132;-5.0265;-5.0253;-1.2394;-1.3271;-4.5605;-4.3636;-0.59806;-0.92388
104;2.3788;2.4892;0.58921;0.42702;3.3139;2.8785;0.69977;0.62775;3.1353;2.9136;0.063064;-0.28291;5.0308;4.7446;-0.34962;-0.30142;3.3104;2.5317;-0.64671;-0.65072;-5.8303;-5.7669;-0.22812;-0.30143;3.1226;1.764;-0.28518;-0.29585;-5.3983;-5.2282;-0.93002;-0.51469;-3.9775;-3.8841;0.18407;0.25983;-5.0018;-5.0007;-1.2357;-1.3222;-4.5393;-4.3146;-0.59346;-0.89841
105;2.3176;2.487;0.58911;0.43909;3.273;2.862;0.70121;0.60775;3.1067;2.8834;0.07222;-0.29764;4.9261;4.648;-0.33892;-0.2982;3.241;2.4683;-0.65365;-0.63966;-5.7949;-5.6935;-0.23847;-0.32736;3.076;1.6874;-0.28468;-0.28953;-5.386;-5.1731;-0.91171;-0.46183;-3.9634;-3.8337;0.16496;0.25731;-4.9746;-4.9756;-1.2315;-1.32;-4.5162;-4.2649;-0.58978;-0.86658
106;2.2546;2.4838;0.58943;0.45141;3.2292;2.8447;0.7023;0.58709;3.0762;2.8536;0.080636;-0.31037;4.823;4.55;-0.32802;-0.29549;3.1725;2.4052;-0.65975;-0.6267;-5.7557;-5.6175;-0.2493;-0.35498;3.0274;1.6229;-0.28519;-0.28578;-5.3715;-5.1178;-0.89347;-0.41596;-3.9456;-3.7823;0.1455;0.25386;-4.9447;-4.9495;-1.2269;-1.3199;-4.4908;-4.2142;-0.58704;-0.83
107;2.19;2.4792;0.5901;0.46325;3.183;2.8261;0.70315;0.56668;3.0442;2.8245;0.08811;-0.32077;4.7216;4.4507;-0.31701;-0.29334;3.1051;2.3427;-0.66518;-0.61169;-5.7122;-5.5392;-0.26069;-0.38341;2.977;1.5726;-0.28656;-0.28357;-5.3545;-5.0623;-0.87524;-0.3784;-3.924;-3.7299;0.12573;0.24958;-4.912;-4.9217;-1.2222;-1.3214;-4.4625;-4.1627;-0.5853;-0.7904
108;2.1246;2.4723;0.59104;0.47396;3.1348;2.8058;0.70386;0.54732;3.011;2.7962;0.094444;-0.32859;4.6216;4.3505;-0.30599;-0.29173;3.039;2.2808;-0.6701;-0.59449;-5.6643;-5.4589;-0.2727;-0.41136;2.9254;1.537;-0.28863;-0.28164;-5.3345;-5.0064;-0.85694;-0.34998;-3.8987;-3.6765;0.10569;0.24459;-4.8765;-4.8916;-1.2173;-1.3236;-4.431;-4.1101;-0.58463;-0.7496
