i;ii;iii;iv
-0.0010401;0.0047247;-0.015853;0.028895
-0.00084746;0.0032024;-0.013442;0.024898
-0.00067089;0.0020014;-0.011183;0.021043
-0.00051135;0.0010976;-0.0090956;0.017374
-0.00036956;0.00045975;-0.0072007;0.01394
-0.00024687;5.0205e-05;-0.0055162;0.010802
-0.00014571;-0.00017298;-0.0040556;0.0080136
-6.8912e-05;-0.00025432;-0.002826;0.0056213
-1.8175e-05;-0.00023977;-0.0018275;0.0036528
7.6366e-06;-0.00017414;-0.0010546;0.0021165
1.3285e-05;-9.5602e-05;-0.00049875;0.0010054
7.0617e-06;-3.177e-05;-0.00015032;0.00030471
0;0;0;0
-5.5563e-05;9.2071e-05;-0.00030746;-0.0002569
-0.00018599;0.00030491;-0.0010149;-0.00083385
-0.00039535;0.00064119;-0.0021315;-0.0017105
-0.00068572;0.0011026;-0.0036614;-0.0028559
-0.0010563;0.0016909;-0.005604;-0.0042353
-0.0015026;0.0024072;-0.0079521;-0.0058133
-0.0020154;0.0032514;-0.010692;-0.0075569
-0.0025815;0.0042206;-0.013805;-0.0094347
-0.0031843;0.0053109;-0.017265;-0.011416
-0.003805;0.0065209;-0.021047;-0.013472
-0.0044249;0.0078557;-0.025118;-0.015588
-0.0050249;0.009326;-0.029446;-0.017768
-0.0055869;0.010943;-0.033995;-0.020033
-0.0060942;0.012716;-0.038726;-0.022412
-0.0065338;0.014651;-0.043602;-0.024931
-0.0068997;0.016756;-0.048589;-0.02761
-0.0071928;0.019038;-0.053656;-0.030461
-0.0074177;0.021505;-0.058776;-0.033494
-0.0075816;0.024162;-0.063928;-0.036722
-0.0076927;0.027012;-0.069094;-0.040151
-0.0077595;0.030056;-0.074257;-0.043771
-0.0077898;0.033294;-0.079401;-0.047551
-0.0077915;0.036726;-0.084515;-0.05144
-0.0077727;0.040356;-0.089588;-0.055376
-0.0077405;0.044188;-0.094612;-0.059297
-0.0076983;0.048229;-0.099585;-0.063145
-0.0076456;0.052486;-0.10451;-0.06687
-0.0075788;0.056973;-0.10938;-0.070425
-0.0074909;0.061701;-0.1142;-0.07377
-0.0073736;0.066684;-0.119;-0.076872
-0.0072168;0.071932;-0.12377;-0.079717
-0.007009;0.077451;-0.12852;-0.082309
-0.0067367;0.083247;-0.13326;-0.084664
-0.0063852;0.089322;-0.13799;-0.086808
-0.0059431;0.095672;-0.14271;-0.088769
-0.005408;0.10229;-0.14741;-0.090577
-0.0047882;0.10915;-0.1521;-0.092267
-0.0041013;0.11625;-0.15676;-0.093876
-0.0033709;0.12355;-0.1614;-0.095439
-0.002622;0.13103;-0.166;-0.096986
-0.0018788;0.13867;-0.17057;-0.098517
-0.0011632;0.14642;-0.1751;-0.10001
-0.00049357;0.15425;-0.17957;-0.1014
0.00011615;0.16212;-0.18398;-0.10263
0.00065797;0.17;-0.18833;-0.10365
0.0011312;0.17784;-0.1926;-0.1044
0.0015426;0.1856;-0.19679;-0.10484
0.0019039;0.19325;-0.20088;-0.10492
0.0022293;0.20075;-0.20489;-0.10462
0.0025329;0.20807;-0.20879;-0.10392
0.0028273;0.21519;-0.2126;-0.1028
0.003125;0.22211;-0.21631;-0.10129
0.0034388;0.22883;-0.21991;-0.099416
0.0037817;0.23536;-0.2234;-0.097233
0.0041634;0.24172;-0.22678;-0.094806
0.0045866;0.2479;-0.23005;-0.092212
0.0050471;0.25394;-0.23321;-0.089538
0.0055348;0.25983;-0.23626;-0.086874
0.0060357;0.26559;-0.2392;-0.084315
0.0065341;0.27121;-0.24203;-0.081949
0.0070148;0.27672;-0.24475;-0.079844
0.0074642;0.2821;-0.24734;-0.078036
0.0078698;0.28736;-0.24979;-0.076535
0.0082205;0.29251;-0.2521;-0.075329
0.0085101;0.29754;-0.25424;-0.074391
0.0087415;0.30246;-0.25619;-0.073687
0.0089282;0.30726;-0.25796;-0.073179
0.009091;0.31195;-0.25952;-0.072821
0.0092527;0.31652;-0.26088;-0.072565
0.0094335;0.32097;-0.26202;-0.072367
0.0096486;0.32531;-0.26294;-0.0722
0.0099074;0.32956;-0.26365;-0.072064
0.010214;0.3337;-0.26414;-0.071982
0.010569;0.33774;-0.26444;-0.071998
0.010967;0.34169;-0.26455;-0.072157
0.011403;0.34554;-0.26449;-0.072499
0.011866;0.34931;-0.26429;-0.073058
0.012341;0.35302;-0.26396;-0.073858
0.012816;0.35666;-0.26355;-0.074923
0.013275;0.36026;-0.26306;-0.076263
0.013707;0.36381;-0.26254;-0.077875
0.014102;0.36733;-0.262;-0.079737
0.014449;0.37079;-0.26147;-0.081815
0.014743;0.37419;-0.26097;-0.084066
0.01498;0.37753;-0.2605;-0.08644
0.015164;0.38081;-0.26008;-0.088876
0.015298;0.38401;-0.25971;-0.091309
0.015389;0.38713;-0.2594;-0.093666
0.015447;0.39017;-0.25914;-0.095871
0.015478;0.39312;-0.25894;-0.097855
0.015491;0.39597;-0.25878;-0.099575
0.01549;0.39872;-0.25864;-0.10101
0.015478;0.40137;-0.2585;-0.10217
0.015455;0.40391;-0.25832;-0.10307
0.01542;0.40633;-0.25808;-0.10373
0.015369;0.40863;-0.25774;-0.10415
0.015296;0.41079;-0.25725;-0.10435
0.015191;0.41281;-0.25659;-0.10434
0.015045;0.41468;-0.25571;-0.10415
0.01485;0.41639;-0.25458;-0.1038
0.014598;0.41793;-0.25319;-0.10329
0.014284;0.41928;-0.25152;-0.10264
0.013904;0.42045;-0.24956;-0.10183
0.013455;0.42142;-0.24731;-0.10087
0.012934;0.42219;-0.24478;-0.099743
0.012342;0.42277;-0.24198;-0.098455
0.011681;0.42316;-0.23892;-0.097004
0.010956;0.42339;-0.23562;-0.095387
0.01017;0.42345;-0.23211;-0.093598
0.0093282;0.42337;-0.2284;-0.091635
0.008435;0.42317;-0.22451;-0.089505
0.0074948;0.42284;-0.22046;-0.087225
0.0065114;0.42241;-0.21628;-0.084821
0.0054885;0.42188;-0.21197;-0.082331
0.0044303;0.42126;-0.20754;-0.079795
0.0033402;0.42054;-0.203;-0.07726
0.0022184;0.41971;-0.19835;-0.074769
0.0010618;0.41876;-0.1936;-0.072367
-0.00013591;0.41766;-0.18873;-0.070091
-0.0013823;0.41639;-0.18376;-0.067969
-0.0026838;0.41493;-0.17867;-0.066014
-0.0040449;0.41325;-0.17347;-0.064218
-0.0054687;0.41131;-0.16816;-0.062559
-0.0069568;0.4091;-0.16275;-0.061
-0.0085091;0.40659;-0.15724;-0.059502
-0.010122;0.40377;-0.15165;-0.058026
-0.011784;0.40063;-0.146;-0.056536
-0.013482;0.39716;-0.1403;-0.055005
-0.015197;0.39337;-0.1346;-0.053411
-0.01691;0.38926;-0.12892;-0.051749
-0.018603;0.38483;-0.1233;-0.050028
-0.020258;0.3801;-0.11779;-0.048277
-0.021857;0.37509;-0.11241;-0.046538
-0.02338;0.3698;-0.1072;-0.044862
-0.02481;0.36425;-0.10219;-0.043296
-0.026136;0.35848;-0.097389;-0.041881
-0.027348;0.3525;-0.092817;-0.040645
-0.028443;0.34636;-0.088483;-0.039613
-0.029417;0.34007;-0.084391;-0.038804
-0.030269;0.33367;-0.080537;-0.038229
-0.030999;0.32718;-0.076912;-0.03788
-0.031605;0.3206;-0.073502;-0.037728
-0.032087;0.31393;-0.070291;-0.037724
-0.032443;0.30718;-0.067261;-0.03781
-0.032675;0.30034;-0.064391;-0.037927
-0.032782;0.2934;-0.061661;-0.038015
-0.032763;0.28636;-0.059051;-0.038019
-0.032618;0.27921;-0.05654;-0.037884
-0.032343;0.27197;-0.05411;-0.037565
-0.031935;0.26463;-0.051743;-0.03703
-0.03139;0.2572;-0.049428;-0.036263
-0.030708;0.2497;-0.047155;-0.03527
-0.029891;0.24215;-0.044921;-0.034073
-0.028946;0.23457;-0.042725;-0.032709
-0.027883;0.22696;-0.040569;-0.031221
-0.026719;0.21934;-0.038454;-0.029651
-0.025473;0.21171;-0.036383;-0.028037
-0.024169;0.20408;-0.034358;-0.026415
-0.022829;0.19645;-0.032382;-0.024821
-0.021477;0.18882;-0.030456;-0.023286
-0.020137;0.18118;-0.028582;-0.021818
-0.01883;0.17354;-0.026757;-0.020409
-0.017576;0.16588;-0.024978;-0.019027
-0.016391;0.15821;-0.023242;-0.017637
-0.015285;0.15052;-0.021546;-0.016205
-0.014259;0.14283;-0.019888;-0.014705
-0.01331;0.13514;-0.018265;-0.013113
-0.012428;0.12746;-0.01668;-0.01141
-0.011601;0.11981;-0.015135;-0.0095848
-0.010817;0.11221;-0.013631;-0.0076365
-0.010065;0.1047;-0.012172;-0.0055804
-0.0093345;0.097316;-0.010759;-0.0034483
-0.0086162;0.090101;-0.0093942;-0.0012863
-0.007901;0.083097;-0.0080831;0.00085126
-0.0071838;0.076346;-0.0068309;0.0029063
-0.0064657;0.069887;-0.0056438;0.0048187
-0.0057526;0.063756;-0.0045284;0.0065271
-0.0050537;0.057983;-0.0034923;0.007972
-0.0043789;0.052591;-0.0025441;0.0090986
-0.003737;0.047591;-0.0016918;0.0098642
-0.0031358;0.042983;-0.00094195;0.010248
-0.0025821;0.038754;-0.00029857;0.010259
-0.0020811;0.034881;0.00023713;0.0099319
-0.0016353;0.031332;0.00066684;0.0093161
-0.0012444;0.028071;0.00099444;0.0084693
-0.00090544;0.025057;0.0012253;0.0074529
-0.00061429;0.022249;0.0013663;0.0063319
-0.00036654;0.019605;0.0014262;0.0051748
-0.00015857;0.017088;0.0014155;0.0040506
1.1301e-05;0.014678;0.0013464;0.0030229
0.00014259;0.012368;0.0012318;0.0021392
0.00023386;0.010173;0.0010844;0.0014246
0.00028464;0.008113;0.00091609;0.0008807
0.00029679;0.0062161;0.00073799;0.00049204
0.00027512;0.0045122;0.00056058;0.00023543
0.00022708;0.0030341;0.00039348;8.5333e-05
0.00016223;0.001815;0.00024557;1.4837e-05
9.2548e-05;0.00088631;0.00012512;-4.9788e-06
3.2757e-05;0.0002746;4.0394e-05;-3.1142e-06
0;0;0;0
5.2353e-05;-0.0001031;-6.3777e-05;-0.00011422
0.00018039;-0.00033479;-0.00018987;-0.00038232
