i;ii;iii;iv
-0.015843;0.055327;-0.0096377;-0.037283
-0.01566;0.054914;-0.0095117;-0.035839
-0.015469;0.054424;-0.0093175;-0.034333
-0.015267;0.053862;-0.0090575;-0.032777
-0.015053;0.053235;-0.0087344;-0.031186
-0.014826;0.052553;-0.0083514;-0.029577
-0.014585;0.051826;-0.0079119;-0.027971
-0.01433;0.051065;-0.0074198;-0.026386
-0.014061;0.050282;-0.0068794;-0.024842
-0.013779;0.049488;-0.0062949;-0.023356
-0.013483;0.048691;-0.0056712;-0.021944
-0.013176;0.047899;-0.005013;-0.020617
-0.012857;0.047117;-0.0043257;-0.019383
-0.012529;0.046346;-0.0036149;-0.018246
-0.012192;0.045587;-0.0028867;-0.017208
-0.011847;0.044838;-0.0021474;-0.016268
-0.011495;0.044096;-0.0014037;-0.01542
-0.011138;0.043357;-0.0006626;-0.014658
-0.010776;0.042616;6.871e-05;-0.013973
-0.010411;0.04187;0.00078279;-0.013353
-0.010043;0.041115;0.0014721;-0.012785
-0.009673;0.040348;0.0021289;-0.012254
-0.0093015;0.039568;0.0027458;-0.011746
-0.0089291;0.038772;0.0033154;-0.011245
-0.0085562;0.037962;0.0038312;-0.010736
-0.0081831;0.037135;0.0042872;-0.010207
-0.0078102;0.036292;0.0046787;-0.0096475
-0.0074376;0.035433;0.0050019;-0.0090519
-0.0070656;0.034559;0.0052541;-0.0084181
-0.0066944;0.033671;0.0054337;-0.0077489
-0.0063245;0.032769;0.0055402;-0.0070514
-0.0059561;0.031854;0.0055744;-0.0063361
-0.0055897;0.030928;0.0055388;-0.0056157
-0.0052257;0.029991;0.0054376;-0.0049041
-0.0048649;0.029046;0.0052771;-0.0042159
-0.0045081;0.028094;0.0050654;-0.003565
-0.0041561;0.027137;0.0048119;-0.0029642
-0.0038101;0.026178;0.0045267;-0.0024242
-0.0034715;0.025219;0.0042201;-0.0019535
-0.0031415;0.024262;0.003902;-0.0015584
-0.0028219;0.023311;0.0035811;-0.0012426
-0.0025143;0.022367;0.0032651;-0.0010075
-0.0022203;0.021434;0.00296;-0.00085192
-0.0019416;0.020512;0.0026697;-0.00077259
-0.0016799;0.019604;0.0023971;-0.00076365
-0.0014365;0.01871;0.0021433;-0.00081693
-0.0012126;0.01783;0.0019086;-0.00092222
-0.0010089;0.016965;0.0016925;-0.0010677
-0.00082547;0.016114;0.0014942;-0.0012405
-0.00066203;0.015276;0.0013132;-0.0014273
-0.00051782;0.014452;0.001149;-0.0016154
-0.00039172;0.01364;0.0010019;-0.0017926
-0.00028243;0.012843;0.00087232;-0.0019489
-0.00018845;0.01206;0.0007611;-0.0020764
-0.00010824;0.011293;0.00066885;-0.0021703
-4.0171e-05;0.010543;0.00059586;-0.0022284
1.7365e-05;0.0098138;0.00054193;-0.0022504
6.5961e-05;0.009106;0.00050619;-0.002238
0.00010711;0.0084224;0.00048694;-0.002194
0.00014214;0.0077651;0.00048168;-0.0021218
0.00017217;0.0071356;0.00048716;-0.0020255
0.00019808;0.0065353;0.00049963;-0.0019093
0.00022045;0.0059646;0.00051507;-0.0017776
0.00023959;0.0054237;0.00052945;-0.0016344
0.00025552;0.0049122;0.00053908;-0.0014836
0.00026801;0.0044292;0.00054092;-0.0013287
0.00027662;0.003974;0.00053294;-0.0011728
0.0002808;0.0035454;0.00051437;-0.0010187
0.00027994;0.0031422;0.00048563;-0.000869
0.00027353;0.0027634;0.00044807;-0.00072602
0.00026124;0.0024079;0.00040369;-0.0005921
0.00024309;0.0020747;0.00035483;-0.00046943
0.00021955;0.0017631;0.00030388;-0.00035993
0.00019164;0.0014729;0.00025315;-0.00026507
0.00016082;0.001204;0.0002046;-0.00018575
0.00012887;0.00095702;0.00015981;-0.0001222
9.7649e-05;0.00073298;0.00011985;-7.3931e-05
6.8951e-05;0.00053354;8.5386e-05;-3.9751e-05
4.4313e-05;0.00036092;5.6686e-05;-1.7799e-05
2.4859e-05;0.0002179;3.3789e-05;-5.664e-06
1.1156e-05;0.0001077;1.6637e-05;-5.6526e-07
3.1189e-06;3.3842e-05;5.2621e-06;4.0763e-07
0;0;0;0
-1.009e-05;3.1139e-05;1.5245e-05;-7.4318e-05
-3.262e-05;0.00010166;5.4441e-05;-0.00024418
-6.7001e-05;0.00021124;0.00012348;-0.00050913
-0.00011247;0.00035929;0.00022812;-0.00086608
-0.00016806;0.00054495;0.00037374;-0.0013096
-0.00023268;0.00076705;0.00056516;-0.0018319
-0.00030502;0.0010243;0.00080639;-0.0024235
-0.00038364;0.0013151;0.0011004;-0.0030729
-0.000467;0.0016379;0.001449;-0.0037669
-0.00055339;0.0019911;0.0018526;-0.0044912
