interp_window,qrtl_R2_1_1,qrtl_R2_1_2,qrtl_R2_1_3,qrtl_R2_2_1,qrtl_R2_2_2,qrtl_R2_2_3
275,0.912312794250209,0.983759314189346,0.995266111727586,0.835398048583437,0.964087646891114,0.991380752110741
278,0.91187333808064,0.982753079934055,0.995020947129909,0.826115182172375,0.962972054489124,0.991152062234562
281,0.912554950540674,0.982746164925524,0.994527871561158,0.815125015248429,0.961503382509347,0.991243006487324
284,0.912608978202094,0.981382215477993,0.994651291930005,0.808900710466887,0.961651004733195,0.991376950698766
287,0.911600182838584,0.980718254534456,0.994830716209029,0.79955894931447,0.9616636471539,0.991578619636322
290,0.907821992865888,0.981150354035333,0.995554270898244,0.791774992293193,0.957489001928327,0.992128073541687
293,0.879039315493365,0.980415965193426,0.995406600299692,0.792354883996474,0.960390547918268,0.992033412524844
296,0.892329876927379,0.979016760314422,0.99489500743071,0.794066032709358,0.959190946579313,0.991859512001333
299,0.89709895523889,0.978803544060584,0.994678586606828,0.781821428520447,0.95847858547767,0.991705241686559
302,0.895897881950505,0.978819524783529,0.994236926263504,0.701094854841661,0.957480383217021,0.991463012163956
305,0.873230855959626,0.978713202064978,0.994168986302406,0.679490051098786,0.954797072188794,0.991611034191407
308,0.862466344245662,0.978755642669351,0.993956260508293,0.667557596760243,0.95193470364162,0.991020370377906
311,0.854109047172785,0.977759675469025,0.993694136148501,0.653422971480432,0.950438761586138,0.991223056739606
314,0.857654831185661,0.976522657997477,0.993362711501206,0.615246576285577,0.951476168821598,0.991227862885556
317,0.8517299448796,0.97582819062608,0.993515170472495,0.622993153823301,0.949691137212149,0.991161057871535
320,0.82185721134366,0.97655034107577,0.992732149154906,0.522915710021716,0.948956764903885,0.991286650427948
323,0.794115773953366,0.976559833506657,0.993314468646127,0.320033247635211,0.947630169344689,0.99153759464274
326,0.772177068995731,0.976927339470635,0.993262594070722,0.34657094333216,0.943923351963539,0.991383230597211
329,0.729431611132663,0.975224208841212,0.993537980253741,0.323230571553093,0.942445747298178,0.991346194745352
332,0.672350287284618,0.973937316317635,0.993280670747668,0.291138575514738,0.941947755696357,0.991161003148304
335,0.613394817743802,0.972919948029309,0.99282508730463,0.0982433232010582,0.940031189325745,0.990309332535662
338,0.529738543292064,0.972472285581383,0.992935459389575,0.0840890910467471,0.939434120307108,0.990422672812608
341,0.506567509657142,0.970619880468769,0.992284579615934,-0.132467026335911,0.939234602575064,0.989930236999227
344,0.453175962933981,0.971131455179386,0.991520963485492,-0.33269422338527,0.93920162065577,0.990761417409684
347,0.385036388470203,0.970591856828694,0.991391995168324,-0.799066008172983,0.940396763588187,0.990303634804593
350,0.281622309205335,0.966417431911967,0.991210999372146,-0.880496992549462,0.94431735289717,0.989485300118796
353,0.213222339952559,0.963789209557152,0.991207978913172,-1.08226549885237,0.94134202760847,0.988752095866956
356,0.0230434702966834,0.958497012005424,0.990713341698988,-1.2932316308011,0.943848267694949,0.988104276931093
359,-0.0986087644623168,0.955497710706362,0.990109464834037,-1.48706066914394,0.939666140612962,0.987846564808862
362,-0.137080758769706,0.95392226362836,0.989804074372214,-1.87408036227183,0.93939644385298,0.987854238865824
365,-0.0611424219567497,0.950800855413731,0.989462818310793,-2.03751037436545,0.938646125965698,0.987688002260748
368,-0.0964468108648106,0.948989188510451,0.989612151829774,-2.05967983172425,0.938707225188308,0.987596739521382
371,-0.186894898847801,0.944933008155201,0.989587376966032,-2.28858131878871,0.938442685196716,0.987255760597326
