time,j4_velocity,j4_velocity_cmd
72.780000512,0.19911502734,0.225663697652
72.781000512,0.19911502734,0.225663697652
72.782000512,0.19911502734,0.225663697652
72.783000512,0.19911502734,0.225663697652
72.784000512,0.213566278821907,0.225663697652
72.785000512,0.205482077633255,0.225663697652
72.786000512,0.19911502734,0.225663697652
72.787000512,0.19911502734,0.225663697652
72.788000512,0.21200603036316,0.225663697652
72.789000512,0.208768696958045,0.225663697652
72.790000512,0.212937032711208,0.225663697652
72.791000512,0.208039889644665,0.225663697652
72.792000512,0.225500762696354,0.225663697652
72.793000512,0.21563256917853,0.225663697652
72.794000512,0.19911502734,0.225663697652
72.795000512,0.213419323740526,0.225663697652
72.796000512,0.234515220554452,0.225663697652
72.797000512,0.230568070015831,0.225663697652
72.798000512,0.221238919267,0.225663697652
72.799000512,0.221238919267,0.225663697652
72.800000512,0.221238919267,0.225663697652
72.801000512,0.221238919267,0.225663697652
72.802000512,0.205563834481995,0.225663697652
72.803000512,0.19911502734,0.225663697652
72.804000512,0.214917807287722,0.225663697652
72.805000512,0.221238919267,0.225663697652
72.806000512,0.221238919267,0.225663697652
72.807000512,0.221238919267,0.225663697652
72.808000512,0.237000569244171,0.225663697652
72.809000512,0.211733270742657,0.225663697652
72.810000512,0.19911502734,0.225663697652
72.811000512,0.214786826009102,0.225663697652
72.812000512,0.20532857038323,0.225663697652
72.813000512,0.19911502734,0.225663697652
72.814000512,0.215252487882148,0.225663697652
72.815000512,0.205686547812321,0.225663697652
72.816000512,0.19911502734,0.225663697652
72.817000512,0.182779296495771,0.225663697652
72.818000512,0.176991135414,0.225663697652
72.819000512,0.193157176700055,0.225663697652
72.820000512,0.183203207813258,0.225663697652
72.821000512,0.193106300690101,0.225663697652
72.822000512,0.19911502734,0.225663697652
72.823000512,0.19911502734,0.225663697652
72.824000512,0.19911502734,0.225663697652
72.825000512,0.19911502734,0.225663697652
72.826000512,0.19911502734,0.225663697652
72.827000512,0.214592956604715,0.225663697652
72.828000512,0.20649145535763,0.225663697652
72.829000512,0.19911502734,0.225663697652
72.830000512,0.19911502734,0.225663697652
72.831000512,0.213974643233333,0.225663697652
72.832000512,0.208801503060507,0.225663697652
72.833000512,0.21187786986188,0.225663697652
72.834000512,0.206326056961372,0.225663697652
72.835000512,0.19911502734,0.225663697652
72.836000512,0.19911502734,0.263277140900605
72.837000512,0.214666153429121,0.280235964405
72.838000512,0.205855727645485,0.280235964405
72.839000512,0.226068182944059,0.280235964405
72.840000512,0.243362811194,0.280235964405
72.841000512,0.258210021314675,0.280235964405
72.842000512,0.26548670312,0.280235964405
72.843000512,0.26548670312,0.280235964405
72.844000512,0.26548670312,0.280235964405
72.845000512,0.28082488303825,0.280235964405
72.846000512,0.287610595047,0.280235964405
72.847000512,0.287610595047,0.280235964405
72.848000512,0.301896609214629,0.280235964405
72.849000512,0.294631691938454,0.280235964405
72.850000512,0.303058167236425,0.280235964405
72.851000512,0.293660641991719,0.280235964405
72.852000512,0.287610595047,0.280235964405
72.853000512,0.287610595047,0.280235964405
72.854000512,0.272653781157199,0.280235964405
72.855000512,0.26548670312,0.280235964405
72.856000512,0.293908032448743,0.280235964405
72.857000512,0.264521649345702,0.280235964405
72.858000512,0.258738386802771,0.280235964405
72.859000512,0.249768370168709,0.280235964405
72.860000512,0.243362811194,0.280235964405
72.861000512,0.243362811194,0.280235964405
72.862000512,0.257803002620128,0.280235964405
72.863000512,0.224895934272997,0.280235964405
72.864000512,0.214238656952554,0.280235964405
72.865000512,0.266938583527138,0.280235964405
72.866000512,0.256849573062424,0.280235964405
72.867000512,0.258975252372928,0.280235964405
72.868000512,0.26548670312,0.280235964405
72.869000512,0.281203245503969,0.280235964405
72.870000512,0.287610595047,0.280235964405
72.871000512,0.274390940663566,0.280235964405
72.872000512,0.26548670312,0.280235964405
72.873000512,0.26548670312,0.280235964405
72.874000512,0.26548670312,0.280235964405
72.875000512,0.249873613582059,0.280235964405
72.876000512,0.243362811194,0.280235964405
72.877000512,0.25891919726544,0.280235964405
72.878000512,0.251756624835242,0.280235964405
72.879000512,0.256455318174929,0.280235964405
72.880000512,0.26548670312,0.280235964405
72.881000512,0.26548670312,0.280235964405
72.882000512,0.26548670312,0.280235964405
72.883000512,0.281157081397728,0.280235964405
72.884000512,0.287610595047,0.280235964405
72.885000512,0.287610595047,0.280235964405
72.886000512,0.271924738795433,0.280235964405
72.887000512,0.27800989609572,0.280235964405
72.888000512,0.287610595047,0.280235964405
72.889000512,0.274580709729319,0.280235964405
72.890000512,0.26548670312,0.280235964405
72.891000512,0.26548670312,0.280235964405
72.892000512,0.279308402015389,0.280235964405
72.893000512,0.274718672608433,0.280235964405
72.894000512,0.26548670312,0.280235964405
72.895000512,0.26548670312,0.280235964405
72.896000512,0.279896951533277,0.280235964405
72.897000512,0.273953979386572,0.280235964405
72.898000512,0.278453957716696,0.280235964405
72.899000512,0.274318418042505,0.280235964405
72.900000512,0.27792675447426,0.280235964405
72.901000512,0.273980638813352,0.280235964405
72.902000512,0.26548670312,0.280235964405
72.903000512,0.26548670312,0.280235964405
72.904000512,0.26548670312,0.280235964405
72.905000512,0.26548670312,0.280235964405
72.906000512,0.26548670312,0.280235964405
72.907000512,0.26548670312,0.280235964405
72.908000512,0.251692724131885,0.280235964405
72.909000512,0.256651745033434,0.280235964405
72.910000512,0.252123570601931,0.280235964405
72.911000512,0.258286942343186,0.280235964405
72.912000512,0.26548670312,0.280235964405
72.913000512,0.26548670312,0.280235964405
72.914000512,0.278417774141479,0.280235964405
72.915000512,0.263486051789179,0.280235964405
72.916000512,0.257295433931062,0.280235964405
72.917000512,0.26548670312,0.280235964405
72.918000512,0.26548670312,0.280235964405
72.919000512,0.26548670312,0.280235964405
72.920000512,0.26548670312,0.280235964405
72.921000512,0.249740522216504,0.280235964405
72.922000512,0.259105570386173,0.280235964405
72.923000512,0.26548670312,0.280235964405
72.924000512,0.281359789478292,0.280235964405
72.925000512,0.287610595047,0.280235964405
72.926000512,0.287610595047,0.280235964405
72.927000512,0.287610595047,0.280235964405
72.928000512,0.287610595047,0.280235964405
72.929000512,0.287610595047,0.280235964405
72.930000512,0.271664598580656,0.280235964405
72.931000512,0.281376472690252,0.280235964405
72.932000512,0.303373938467356,0.280235964405
72.933000512,0.292974099943257,0.280235964405
72.934000512,0.271351743637059,0.280235964405
72.935000512,0.26548670312,0.280235964405
72.936000512,0.281270414856725,0.280235964405
72.937000512,0.287610595047,0.280235964405
72.938000512,0.271903138561913,0.280235964405
72.939000512,0.249698393089988,0.280235964405
72.940000512,0.274979678981129,0.280235964405
72.941000512,0.241798371174361,0.280235964405
72.942000512,0.221238919267,0.280235964405
72.943000512,0.235681149116378,0.280235964405
72.944000512,0.272550625974248,0.280235964405
