identif_window;K1;B1;M1;K2;B2;M2
209;0.000674057;0.000199396;0.000885916;0.000535633;7.49E-06;0.000903479
210;0.000670513;0.000195555;0.000884771;0.00053559;8.72E-06;0.000902906
211;0.000667056;0.00019178;0.000883645;0.000535569;9.89E-06;0.000902357
212;0.000663685;0.000188072;0.000882538;0.000535571;1.10E-05;0.000901832
213;0.000660397;0.000184428;0.000881448;0.000535594;1.21E-05;0.000901329
214;0.000657191;0.000180849;0.000880376;0.000535636;1.31E-05;0.000900848
215;0.000654064;0.000177331;0.000879322;0.000535696;1.40E-05;0.00090039
216;0.000651015;0.000173875;0.000878285;0.000535773;1.50E-05;0.000899952
217;0.000648042;0.000170479;0.000877266;0.000535866;1.58E-05;0.000899535
218;0.000645144;0.000167143;0.000876262;0.000535974;1.66E-05;0.000899137
219;0.000642317;0.000163865;0.000875276;0.000536096;1.74E-05;0.00089876
220;0.000639562;0.000160644;0.000874305;0.00053623;1.81E-05;0.0008984
221;0.000636876;0.00015748;0.000873351;0.000536375;1.88E-05;0.00089806
222;0.000634257;0.000154371;0.000872412;0.000536532;1.95E-05;0.000897736
223;0.000631705;0.000151316;0.000871489;0.000536697;2.01E-05;0.00089743
224;0.000629217;0.000148315;0.000870581;0.000536872;2.06E-05;0.000897141
225;0.000626793;0.000145367;0.000869688;0.000537054;2.12E-05;0.000896867
226;0.00062443;0.000142471;0.000868809;0.000537243;2.17E-05;0.000896609
227;0.000622128;0.000139626;0.000867946;0.000537437;2.21E-05;0.000896366
228;0.000619884;0.000136831;0.000867096;0.000537637;2.25E-05;0.000896138
229;0.000617699;0.000134086;0.000866261;0.000537842;2.29E-05;0.000895923
230;0.00061557;0.000131389;0.00086544;0.000538049;2.33E-05;0.000895722
231;0.000613496;0.000128741;0.000864632;0.00053826;2.37E-05;0.000895533
232;0.000611476;0.000126139;0.000863839;0.000538472;2.40E-05;0.000895357
233;0.000609509;0.000123584;0.000863058;0.000538686;2.43E-05;0.000895192
234;0.000607594;0.000121075;0.000862291;0.000538901;2.45E-05;0.000895039
235;0.000605729;0.000118611;0.000861536;0.000539116;2.48E-05;0.000894897
236;0.000603914;0.000116191;0.000860795;0.000539331;2.50E-05;0.000894766
237;0.000602147;0.000113815;0.000860066;0.000539544;2.52E-05;0.000894644
238;0.000600428;0.000111482;0.000859349;0.000539756;2.54E-05;0.000894531
239;0.000598754;0.000109191;0.000858645;0.000539966;2.55E-05;0.000894428
240;0.000597127;0.000106942;0.000857953;0.000540173;2.57E-05;0.000894333
241;0.000595543;0.000104735;0.000857273;0.000540377;2.58E-05;0.000894246
242;0.000594003;0.000102568;0.000856604;0.000540578;2.59E-05;0.000894167
243;0.000592505;0.00010044;0.000855948;0.000540775;2.60E-05;0.000894096
244;0.000591049;9.84E-05;0.000855302;0.000540968;2.61E-05;0.000894031
245;0.000589633;9.63E-05;0.000854668;0.000541156;2.62E-05;0.000893972
246;0.000588257;9.43E-05;0.000854046;0.000541339;2.62E-05;0.00089392
247;0.00058692;9.23E-05;0.000853434;0.000541517;2.63E-05;0.000893873
248;0.000585621;9.04E-05;0.000852833;0.00054169;2.63E-05;0.000893832
249;0.000584359;8.85E-05;0.000852243;0.000541857;2.63E-05;0.000893795
250;0.000583134;8.66E-05;0.000851663;0.000542018;2.64E-05;0.000893763
251;0.000581944;8.48E-05;0.000851094;0.000542173;2.64E-05;0.000893736
252;0.000580789;8.30E-05;0.000850536;0.000542321;2.64E-05;0.000893712
253;0.000579668;8.12E-05;0.000849987;0.000542463;2.64E-05;0.000893692
254;0.00057858;7.95E-05;0.000849448;0.000542599;2.64E-05;0.000893675
255;0.000577526;7.78E-05;0.00084892;0.000542728;2.64E-05;0.000893662
256;0.000576503;7.62E-05;0.000848401;0.00054285;2.64E-05;0.00089365
257;0.000575511;7.45E-05;0.000847892;0.000542965;2.64E-05;0.000893642
258;0.00057455;7.30E-05;0.000847392;0.000543073;2.63E-05;0.000893635
259;0.000573618;7.14E-05;0.000846902;0.000543174;2.63E-05;0.000893631
260;0.000572716;6.99E-05;0.000846421;0.000543268;2.63E-05;0.000893628
261;0.000571842;6.84E-05;0.000845949;0.000543354;2.63E-05;0.000893626
262;0.000570997;6.69E-05;0.000845486;0.000543434;2.63E-05;0.000893626
263;0.000570178;6.55E-05;0.000845032;0.000543507;2.62E-05;0.000893627
264;0.000569386;6.40E-05;0.000844587;0.000543573;2.62E-05;0.000893628
265;0.00056862;6.27E-05;0.000844151;0.000543632;2.62E-05;0.00089363
266;0.00056788;6.13E-05;0.000843723;0.000543684;2.62E-05;0.000893633
267;0.000567165;6.00E-05;0.000843303;0.000543729;2.62E-05;0.000893635
268;0.000566474;5.87E-05;0.000842892;0.000543767;2.61E-05;0.000893638
269;0.000565806;5.74E-05;0.00084249;0.000543799;2.61E-05;0.00089364
270;0.000565162;5.62E-05;0.000842095;0.000543824;2.61E-05;0.000893643
271;0.000564541;5.50E-05;0.000841708;0.000543843;2.61E-05;0.000893645
272;0.000563942;5.38E-05;0.000841329;0.000543856;2.61E-05;0.000893646
273;0.000563364;5.26E-05;0.000840958;0.000543862;2.61E-05;0.000893647
274;0.000562808;5.15E-05;0.000840595;0.000543863;2.61E-05;0.000893647
275;0.000562272;5.04E-05;0.000840239;0.000543857;2.61E-05;0.000893646
276;0.000561756;4.93E-05;0.000839891;0.000543846;2.61E-05;0.000893645
277;0.00056126;4.82E-05;0.00083955;0.00054383;2.61E-05;0.000893642
278;0.000560783;4.72E-05;0.000839216;0.000543808;2.61E-05;0.000893638
279;0.000560325;4.61E-05;0.00083889;0.000543781;2.62E-05;0.000893633
280;0.000559885;4.52E-05;0.00083857;0.000543749;2.62E-05;0.000893627
281;0.000559463;4.42E-05;0.000838258;0.000543712;2.62E-05;0.000893619
282;0.000559058;4.32E-05;0.000837952;0.00054367;2.62E-05;0.00089361
283;0.00055867;4.23E-05;0.000837653;0.000543624;2.63E-05;0.0008936
284;0.000558298;4.14E-05;0.000837361;0.000543574;2.63E-05;0.000893588
285;0.000557943;4.05E-05;0.000837076;0.00054352;2.64E-05;0.000893575
286;0.000557603;3.97E-05;0.000836796;0.000543462;2.64E-05;0.000893561
287;0.000557278;3.88E-05;0.000836524;0.0005434;2.64E-05;0.000893545
