time,force,filtered,perturbation
23.732056512,-0.248374651453518,-0.351234029800367,NaN
23.733056512,-0.202654554864283,-0.32428587220014,NaN
23.734056512,-0.137353946910705,-0.296249174233434,NaN
23.735056512,-0.0817181481750754,-0.267072078968139,NaN
23.736056512,-0.115316276125943,-0.23675092365596,NaN
23.737056512,-0.120698597103706,-0.205173725792597,NaN
23.738056512,-0.100128622691279,-0.172714690791715,NaN
23.739056512,-0.120407734160673,-0.139627525721769,NaN
23.740056512,-0.0490300524994833,-0.105465122712598,NaN
23.741056512,0.0459261815045082,-0.0704202530481543,NaN
23.742056512,0.0718789357240179,-0.0348206055601176,NaN
23.743056512,0.0773867995047695,0.00144038536188134,NaN
23.744056512,0.0225126491564904,0.0381437121939281,NaN
23.745056512,-0.013826977572879,0.0754946724809366,NaN
23.746056512,0.0565746772160385,0.113651585187205,NaN
23.747056512,0.0342392811483505,0.15179518954241,NaN
23.748056512,0.0465732433599551,0.190228428558922,NaN
23.749056512,0.0989461866755204,0.229183036586778,NaN
23.750056512,0.078525590044888,0.267917656261812,NaN
23.751056512,0.113087709678658,0.307260777256427,NaN
23.752056512,0.170582251912312,0.346746655103259,NaN
23.753056512,0.229336436027383,0.386141978205752,NaN
23.754056512,0.36147844619113,0.426034875788809,NaN
23.755056512,0.318517676994627,0.464814718279532,NaN
23.756056512,0.391849470607779,0.504257278886543,NaN
23.757056512,0.42965801451416,0.543003564595605,NaN
23.758056512,0.504305245064824,0.581437680612845,NaN
23.759056512,0.528835088600653,0.619820118767014,NaN
23.760056512,0.479503375436386,0.657748666870121,NaN
23.761056512,0.52907891347943,0.695476990561371,NaN
23.762056512,0.642489155513404,0.732781156246244,NaN
23.763056512,0.631970022227587,0.769075882359998,NaN
23.764056512,0.728740818353411,0.805433397940898,NaN
23.765056512,0.746110813360924,0.840759785978498,NaN
23.766056512,0.79651659468083,0.875611106662998,NaN
23.767056512,0.783184181367973,0.90973144277462,NaN
23.768056512,0.793682870173763,0.942769379361992,NaN
23.769056512,0.71662217488103,0.974805935261003,NaN
23.770056512,0.864894956403332,1.00677715327937,NaN
23.771056512,0.863414926646193,1.03723737580647,NaN
23.772056512,0.898645875134605,1.06715146063858,NaN
23.773056512,0.965262256505978,1.09618607891565,NaN
23.774056512,1.0000778301221,1.12425687773441,NaN
23.775056512,0.944747428196769,1.15089316577797,NaN
23.776056512,1.00477093741156,1.17666854786894,NaN
23.777056512,1.0024065929591,1.20111973460747,NaN
23.778056512,1.06005088278181,1.22437772918962,NaN
23.779056512,1.07792088450802,1.24676082599345,NaN
23.780056512,1.09852312026549,1.26808829556304,NaN
23.781056512,1.20916876476623,1.28859983559209,NaN
23.782056512,1.24235881721722,1.30750264166772,NaN
23.783056512,1.27025429700428,1.32490317757873,NaN
23.784056512,1.29552522875411,1.34091124938102,NaN
23.785056512,1.30997172248551,1.35597298789627,NaN
23.786056512,1.31566374902624,1.3698128200594,NaN
23.787056512,1.32858173245237,1.38231471064605,NaN
23.788056512,1.48434582691722,1.39419476281462,NaN
23.789056512,1.48369692694856,1.40422168998536,NaN
23.790056512,1.51761627695074,1.41323264281578,NaN
23.791056512,1.50478282693372,1.42041281100272,NaN
