idx_id_wdw_csv,idx_interp_spl_csv,K_med_err_csv
241,212,0.1043785
244,212,0.1043785
247,212,0.1043785
250,212,0.1043785
253,212,0.1043785
256,212,0.1043785
259,212,0.1043785
262,212,0.1043785
265,212,0.1043785
268,212,0.1043785
271,212,0.1043785
274,212,0.1043785
277,212,0.1043785
280,212,0.1043785
283,212,0.1043785
286,212,0.1043785
289,212,0.1043785
292,212,0.1043785
295,212,0.1043785
298,212,0.1043785
100,215,0.1040091
103,215,0.262562
106,215,0.2194663
109,215,0.2596079
112,215,0.2877292
115,215,0.1982761
118,215,0.1598601
121,215,0.1731781
124,215,0.1393435
127,215,0.1380747
130,215,0.1232257
133,215,0.1354852
136,215,0.1484352
139,215,0.08320814
142,215,0.08176444
145,215,0.04367294
148,215,0.08085185
151,215,0.1453169
154,215,0.1223336
157,215,0.09981984
160,215,0.1097983
163,215,0.1451482
166,215,0.1491887
169,215,0.1398967
172,215,0.1486009
175,215,0.1330863
178,215,0.1679462
181,215,0.1517332
184,215,0.1361867
187,215,0.1338151
190,215,0.1258234
193,215,0.1495732
196,215,0.1496076
199,215,0.1752313
202,215,0.1729222
205,215,0.1729331
208,215,0.1466412
211,215,0.1375836
214,215,0.1361355
217,215,0.1360736
220,215,0.1360736
223,215,0.1360736
226,215,0.1360736
229,215,0.1360736
232,215,0.1360736
235,215,0.1360736
238,215,0.1360736
241,215,0.1360736
244,215,0.1360736
247,215,0.1360736
250,215,0.1360736
253,215,0.1360736
256,215,0.1360736
259,215,0.1360736
262,215,0.1360736
265,215,0.1360736
268,215,0.1360736
271,215,0.1360736
274,215,0.1360736
277,215,0.1360736
280,215,0.1360736
283,215,0.1360736
286,215,0.1360736
289,215,0.1360736
292,215,0.1360736
295,215,0.1360736
298,215,0.1360736
100,218,0.1104839
103,218,0.2779702
106,218,0.2816871
109,218,0.2641936
112,218,0.257984
115,218,0.1960718
118,218,0.1582
121,218,0.1573087
124,218,0.0935258
127,218,0.1120176
130,218,0.1181467
133,218,0.1321297
136,218,0.1034225
139,218,0.08844735
142,218,0.09964371
145,218,0.08689521
148,218,0.1077509
151,218,0.1082663
154,218,0.1011439
157,218,0.1104938
160,218,0.1258458
163,218,0.1199677
166,218,0.1264371
169,218,0.1179216
172,218,0.09979945
175,218,0.08337522
178,218,0.09980316
181,218,0.1010692
184,218,0.1072059
187,218,0.1117141
190,218,0.1165436
193,218,0.105634
196,218,0.1004123
199,218,0.1335987
202,218,0.133814
205,218,0.1594887
208,218,0.1548606
211,218,0.1482484
214,218,0.1197831
217,218,0.1198455
220,218,0.1197231
223,218,0.1197231
226,218,0.1197231
229,218,0.1197231
232,218,0.1197231
235,218,0.1197231
238,218,0.1197231
241,218,0.1197231
244,218,0.1197231
247,218,0.1197231
250,218,0.1197231
253,218,0.1197231
256,218,0.1197231
259,218,0.1197231
262,218,0.1197231
265,218,0.1197231
268,218,0.1197231
271,218,0.1197231
274,218,0.1197231
277,218,0.1197231
280,218,0.1197231
283,218,0.1197231
286,218,0.1197231
289,218,0.1197231
292,218,0.1197231
295,218,0.1197231
298,218,0.1197231
100,221,0.06983795
103,221,0.2215621
106,221,0.2240099
109,221,0.1946431
112,221,0.2248498
115,221,0.1822425
118,221,0.1231822
121,221,0.1289671
124,221,0.08932724
127,221,0.08729139
130,221,0.1291094
133,221,0.1581346
136,221,0.09846006
139,221,0.0933864
142,221,0.03085872
145,221,0.02246562
148,221,0.04642737
151,221,0.0864648
154,221,0.07930276
157,221,0.06871577
160,221,0.1265244
163,221,0.04524874
166,221,0.06657595
169,221,0.06514315
172,221,0.07010585
175,221,0.07499739
178,221,0.08931318
181,221,0.04288973
184,221,0.08866141
187,221,0.04051045
190,221,0.02945524
193,221,0.01247973
196,221,0.01069587
199,221,0.1235869
202,221,0.1321871
205,221,0.1116067
208,221,0.1345088
211,221,0.1479776
214,221,0.1385612
217,221,0.1336712
220,221,0.1008304
223,221,0.1006598
226,221,0.1006598
229,221,0.1006598
232,221,0.1006598
235,221,0.1006598
238,221,0.1006598
241,221,0.1006598
244,221,0.1006598
247,221,0.1006598
250,221,0.1006598
253,221,0.1006598
256,221,0.1006598
259,221,0.1006598
262,221,0.1006598
265,221,0.1006598
268,221,0.1006598
271,221,0.1006598
274,221,0.1006598
277,221,0.1006598
280,221,0.1006598
283,221,0.1006598
286,221,0.1006598
289,221,0.1006598
292,221,0.1006598
295,221,0.1006598
298,221,0.1006598
100,224,0.02503706
103,224,0.1058888
106,224,0.0924141
109,224,0.1580778
112,224,0.1034599
115,224,0.03965825
118,224,0.03436955
121,224,0.03324552
124,224,0.07851486
127,224,0.05247203
130,224,0.07142933
133,224,0.06784984
136,224,0.05739114
139,224,0.004678563
142,224,0.04337976
145,224,0.05010986
148,224,0.04802192
151,224,0.005178942
154,224,0.00276522
157,224,0.02417766
160,224,0.04997439
163,224,0.0333943
166,224,0.01488113
169,224,0.00599823
172,224,0.02492807
175,224,0.02993251
178,224,0.03223376
181,224,0.02753961
184,224,0.02643008
187,224,0.02863061
190,224,0.0329131
193,224,0.03743068
196,224,0.03532748
199,224,0.01483383
202,224,0.01481988
205,224,0.0110648
208,224,0.03860506
211,224,0.04198303
214,224,0.07151653
217,224,0.04399054
220,224,0.04182162
223,224,0.02332458
226,224,0.01608854
229,224,0.01608854
232,224,0.01608854
235,224,0.01608854
238,224,0.01608854
241,224,0.01608854
244,224,0.01608854
247,224,0.01608854
250,224,0.01608854
253,224,0.01608854
256,224,0.01608854
259,224,0.01608854
262,224,0.01608854
265,224,0.01608854
268,224,0.01608854
271,224,0.01608854
274,224,0.01608854
277,224,0.01608854
280,224,0.01608854
283,224,0.01608854
286,224,0.01608854
289,224,0.01608854
292,224,0.01608854
295,224,0.01608854
298,224,0.01608854
100,227,0.003646524
103,227,0.03455331
106,227,0.04126489
109,227,0.06398076
112,227,0.07781677
115,227,0.01570162
118,227,0.01827992
121,227,0.04787543
124,227,0.03154765
127,227,0.007585798
130,227,0.008179801
133,227,0.009795053
136,227,0.0275092
139,227,0.07204045
142,227,0.08257315
145,227,0.1106832
148,227,0.09806617
