time,force,filtered
149.00549024,3.10883920217861,3.15995569993801
149.00649024,3.13419200025491,3.16122196238696
149.00749024,3.17409073870422,3.16206580988558
149.00849024,3.17511660658311,3.16274231620964
149.00949024,3.16929111656093,3.16322433506707
149.01049024,3.17201959971428,3.16363914410797
149.01149024,3.22168249349404,3.1636059117677
149.01249024,3.22171779165565,3.16299272574243
149.01349024,3.18008132813421,3.16193173435201
149.01449024,3.18815218543374,3.16082927263369
149.01549024,3.15290090666299,3.1594962184593
149.01649024,3.14770228560989,3.15760980793047
149.01749024,3.08894691404842,3.15559747497153
149.01849024,3.09070236767966,3.15289498681135
149.01949024,3.09027000426836,3.15003734864933
149.02049024,3.07372593737969,3.14643871626748
149.02149024,3.15379436089421,3.14299408363775
149.02249024,3.16001937862692,3.13890570437522
149.02349024,3.19098386981525,3.13450015588608
149.02449024,3.13570621593549,3.12949200559984
149.02549024,3.17238038034759,3.12394577739055
149.02649024,3.09379240305222,3.11741441115085
149.02749024,3.16891045545808,3.11090724131968
149.02849024,3.14562071556379,3.10359669682818
149.02949024,3.17577030433052,3.09587305490383
149.03049024,3.15023631295318,3.08749721373027
149.03149024,3.15167379543215,3.0787951384841
149.03249024,3.18265654595734,3.06929284755571
149.03349024,3.07553944161058,3.05848350990002
149.03449024,3.11965842538241,3.04802057310384
149.03549024,3.05732465766777,3.0365659868855
149.03649024,3.03293044995305,3.02445663380409
149.03749024,3.01843930492166,3.0121913263335
149.03849024,3.0900752337351,2.99941465735398
149.03949024,3.046362060257,2.98561632711786
149.04049024,3.00789586410436,2.97096537029852
149.04149024,3.06656197809137,2.95621672159689
149.04249024,3.02698993534096,2.94057368002942
149.04349024,2.97536574546663,2.92429363941375
149.04449024,2.96898174838714,2.90738389427845
149.04549024,2.91135619015454,2.88951507810432
149.04649024,2.86994170762484,2.87114201198803
149.04749024,2.86364618156556,2.85225920577898
149.04849024,2.79801951589536,2.83226378113472
149.04949024,2.79921361449726,2.81209170286446
149.05049024,2.83065642851806,2.7914790204053
149.05149024,2.80799723030886,2.76981474439605
149.05249024,2.76028231069608,2.74746555146529
149.05349024,2.72712716948323,2.72411912583806
149.05449024,2.6744306989883,2.70040319807641
149.05549024,2.67521585133707,2.6764038790587
149.05649024,2.70751931812602,2.65188080982072
149.05749024,2.63627543867348,2.62640450794078
149.05849024,2.65183850357103,2.60056056962559
149.05949024,2.63558130799314,2.57389934081619
149.06049024,2.69226595036931,2.54685539661748
149.06149024,2.66039801636534,2.51911186145897
149.06249024,2.58567317895229,2.49071995254646
149.06349024,2.51342882640501,2.46198090679612
149.06449024,2.50158486943184,2.43270894712201
149.06549024,2.43950373671481,2.40284651179775
149.06649024,2.40809881985056,2.37218169477325
149.06749024,2.40567432647743,2.34106193352926
149.06849024,2.27753294547558,2.30930900363943
149.06949024,2.27478411501359,2.27733160593149
149.07049024,2.23233112513639,2.24503656787156
