time,j4_torque,j4_torque_cmd
139.947,0.463488,0.499698
139.948,0.463488,0.499698
139.949,0.463488,0.499698
139.95,0.463488,0.499698
139.951,0.474351,0.499698
139.952,0.474351,0.499698
139.953,0.474351,0.499698
139.954,0.474351,0.499698
139.955,0.474351,0.499698
139.956,0.474351,0.499698
139.957,0.474351,0.499698
139.958,0.474351,0.499698
139.959,0.474270937451067,0.499698
139.96,0.47073,0.499698
139.961,0.47073,0.499698
139.962,0.47073,0.499698
139.963,0.47073,0.499698
139.964,0.47073,0.499698
139.965,0.47073,0.499698
139.966,0.47073,0.499698
139.967,0.470673819912059,0.499698
139.968,0.467119917587934,0.499698
139.969,0.467109,0.499698
139.97,0.467109,0.499698
139.971,0.467109,0.499698
139.972,0.467109,0.499698
139.973,0.467109,0.499698
139.974,0.467109,0.499698
139.975,0.467109,0.499698
139.976,0.467109,0.499698
139.977,0.4707024872381,0.499698
139.978,0.47073,0.499698
139.979,0.47073,0.499698
139.98,0.47073,0.499698
139.981,0.47073,0.499698
139.982,0.47073,0.499698
139.983,0.47073,0.499698
139.984,0.47073,0.499698
139.985,0.460804973463621,0.499698
139.986,0.459867,0.499698
139.987,0.459867,0.499698
139.988,0.459867,0.499698
139.989,0.459867,0.499698
139.99,0.459867,0.499698
139.991,0.459867,0.499698
139.992,0.459867,0.499698
139.993,0.463079658370127,0.499698
139.994,0.463488,0.499698
139.995,0.463488,0.499698
139.996,0.463488,0.499698
139.997,0.463488,0.499698
139.998,0.463488,0.499698
139.999,0.463488,0.499698
140,0.463488,0.499698
140.001,0.463488,0.499698
140.002,0.473346035637076,0.499698
140.003,0.474351,0.499698
140.004,0.474351,0.499698
140.005,0.474351,0.499698
140.006,0.474351,0.499698
140.007,0.474351,0.499698
140.008,0.474351,0.499698
140.009,0.474351,0.499698
140.01,0.46458297305406,0.499698
140.011,0.463488,0.499698
140.012,0.463488,0.499698
140.013,0.463488,0.499698
140.014,0.463488,0.499698
140.015,0.463488,0.499698
140.016,0.463488,0.499698
140.017,0.463905276265341,0.499698
140.018,0.477972,0.499698
140.019,0.477972,0.499698
140.02,0.477972,0.499698
140.021,0.477972,0.499698
140.022,0.477972,0.499698
140.023,0.477972,0.499698
140.024,0.477972,0.499698
140.025,0.477972,0.499698
140.026,0.477972,0.499698
140.027,0.485214,0.499698
140.028,0.485214,0.499698
140.029,0.485214,0.499698
140.03,0.485214,0.499698
140.031,0.485214,0.499698
140.032,0.485214,0.499698
140.033,0.485214,0.499698
140.034,0.48490519018882,0.499698
140.035,0.477972,0.499698
140.036,0.477972,0.499698
140.037,0.477972,0.499698
140.038,0.477972,0.499698
140.039,0.477972,0.499698
140.04,0.477972,0.499698
140.041,0.477972,0.499698
140.042,0.477972,0.499698
140.043,0.477972,0.499698
140.044,0.477972,0.499698
140.045,0.477972,0.499698
140.046,0.477972,0.499698
140.047,0.477972,0.499698
140.048,0.477972,0.499698
140.049,0.477972,0.499698
140.05,0.477972,0.499698
140.051,0.476940247115176,0.499698
140.052,0.452625,0.499698
140.053,0.452625,0.499698
140.054,0.452625,0.499698
140.055,0.452625,0.499698
140.056,0.452625,0.499698
140.057,0.452625,0.499698
140.058,0.452625,0.499698
140.059,0.452625,0.499698
140.06,0.46655542494331,0.499698
140.061,0.467109,0.499698
140.062,0.467109,0.499698
140.063,0.467109,0.499698
140.064,0.467109,0.499698
140.065,0.467109,0.499698
140.066,0.467109,0.499698
140.067,0.467109,0.499698
140.068,0.467109,0.499698
140.069,0.460185765296791,0.499698
140.07,0.459867,0.499698
140.071,0.459867,0.499698
140.072,0.459867,0.499698
140.073,0.459867,0.499698
140.074,0.459867,0.499698
140.075,0.459867,0.499698
140.076,0.460926849370762,0.499698
140.077,0.485214,0.499698
140.078,0.485214,0.499698
140.079,0.485214,0.499698
140.08,0.485214,0.499698
140.081,0.485214,0.499698
140.082,0.485214,0.499698
140.083,0.485214,0.499698
140.084,0.485214,0.499698
140.085,0.47073,0.499698
140.086,0.47073,0.499698
140.087,0.47073,0.499698
140.088,0.47073,0.499698
140.089,0.47073,0.499698
140.09,0.47073,0.499698
140.091,0.47073,0.499698
140.092,0.47073,0.499698
140.093,0.47073,0.499698
140.094,0.47073,0.499698
140.095,0.47073,0.499698
140.096,0.47073,0.499698
140.097,0.47073,0.499698
140.098,0.47073,0.499698
140.099,0.47073,0.499698
140.1,0.47073,0.499698
140.101,0.470654409327481,0.499698
140.102,0.467109,0.499698
140.103,0.467109,0.499698
140.104,0.467109,0.499698
140.105,0.467109,0.499698
140.106,0.467109,0.499698
140.107,0.467109,0.499698
140.108,0.467109,0.499698
140.109,0.467109,0.499698
140.11,0.467109,0.499698
140.111,0.463488,0.499698
140.112,0.463488,0.499698
140.113,0.463488,0.499698
140.114,0.463488,0.499698
140.115,0.463488,0.499698
140.116,0.463488,0.499698
140.117,0.463488,0.499698
140.118,0.463488,0.499698
140.119,0.488390756944168,0.499698
140.12,0.488835,0.499698
140.121,0.488835,0.499698
140.122,0.488835,0.499698
140.123,0.488835,0.499698
140.124,0.488835,0.499698
140.125,0.488835,0.499698
140.126,0.487960901387107,0.499698
140.127,0.459867,0.499698
140.128,0.459867,0.499698
140.129,0.459867,0.499698
140.13,0.459867,0.499698
140.131,0.459867,0.499698
140.132,0.459867,0.499698
140.133,0.459867,0.499698
140.134,0.459867,0.499698
140.135,0.459867,0.499698
140.136,0.476724888217606,0.499698
