%time,field.poisonStamp.originator,field.poisonStamp.description,field.poisonStamp.qos,field.torques0.timeStamp,field.torques0.joint_uri,field.torques0.unit,field.torques0.value
1583862915597852591,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915598845930,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915628358465,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915629282616,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915630179696,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915631142624,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915632153407,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915633147266,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915634144053,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915635148717,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915636152107,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915637165351,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915638151178,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915668348290,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915669159535,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915670119162,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915671100164,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915672082719,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915673113956,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915674102077,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915675095675,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915676093606,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915677107544,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915678092562,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915710681507,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915711507988,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915712460933,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915713445452,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915714421825,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915715439189,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915716476219,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915717428358,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915718472915,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915748149491,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915749028548,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915749910195,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915750922807,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915751895051,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915752893052,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915753920781,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915754913897,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915755933070,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915756936824,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915757912676,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915758925629,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915789683727,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915790417914,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915791435651,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915792417276,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915793422316,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915794396950,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915795419231,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915796376854,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915797411640,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915798405467,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915831877698,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915832781615,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915833783936,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915834768060,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915835749217,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915836724832,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915837757898,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915838771534,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915871218468,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915872210718,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915873137611,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915874112240,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915875070442,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915876095589,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915877082326,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915878064273,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915912236262,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915913112290,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915914106260,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915915100274,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915916091365,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915917090013,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915918102421,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915951205746,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915952180356,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915953097607,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915954120833,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915955098043,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915956049917,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
1583862915957099127,,,0.0,0,arm_joint_2,m^2 kg s^-2 rad^-1,0.0
