time,force,BW50hz,filtered,algorithm,pert,impact
223.566551168,-0.888071715893217,-0.916282616910763,-1.07900071229035,-1.04641814472286,NaN,NaN
223.567551168,-0.931460685287196,-0.932225539228919,-1.10892016125306,-1.0714667827041,NaN,NaN
223.568551168,-0.936284146806917,-0.95036466462556,-1.13903502798064,-1.09679702957136,NaN,NaN
223.569551168,-1.01332064934478,-0.971515231759985,-1.1693428986425,-1.12242077465762,NaN,NaN
223.570551168,-0.940033624122421,-0.996489340732107,-1.19984160140555,-1.14834890077587,NaN,NaN
223.571551168,-0.964821490776618,-1.0260403813953,-1.23052905981254,-1.17459313824712,NaN,NaN
223.572551168,-1.0169965205204,-1.06062340052058,-1.26140223317132,-1.20116259486394,NaN,NaN
223.573551168,-1.06832687748812,-1.10021661504332,-1.29245651188673,-1.22806604251233,NaN,NaN
223.574551168,-1.15168837667947,-1.14436822907198,-1.32368642074643,-1.25530944082409,NaN,NaN
223.575551168,-1.1569916208395,-1.19235387244116,-1.35508673831345,-1.28290010664005,NaN,NaN
223.576551168,-1.21116262645758,-1.243259877841,-1.38665276754821,-1.31084403714446,NaN,NaN
223.577551168,-1.27138454321512,-1.29594117063826,-1.41837976373402,-1.33914804400293,NaN,NaN
223.578551168,-1.36441026564734,-1.3489949675657,-1.45026253034908,-1.36781636247946,NaN,NaN
223.579551168,-1.45413613596481,-1.40089502597673,-1.48229569459503,-1.3968541332855,NaN,NaN
223.580551168,-1.47257698665015,-1.45023936895331,-1.51447426487399,-1.42626495538114,NaN,NaN
223.581551168,-1.52447878041617,-1.49592458939069,-1.54679381934367,-1.45605381488622,NaN,NaN
223.582551168,-1.62845335837558,-1.53720463504638,-1.57925042404757,-1.48622383088601,NaN,NaN
223.583551168,-1.62142668669016,-1.57379066203128,-1.61184100717831,-1.516780133191,NaN,NaN
223.584551168,-1.63823647615438,-1.60596450512616,-1.64456397737272,-1.54772698549631,NaN,NaN
223.585551168,-1.6565598897066,-1.63453061244675,-1.67741923548072,-1.57907104518915,NaN,NaN
223.586551168,-1.66213065403541,-1.66064899506123,-1.7104075081272,-1.61081743642524,NaN,NaN
223.587551168,-1.70448857658808,-1.6856896106498,-1.74352956560608,-1.64297234919137,NaN,NaN
223.588551168,-1.69358496009947,-1.71114004345317,-1.77678587065381,-1.67553938371246,NaN,NaN
223.589551168,-1.72926733989963,-1.73852643441843,-1.81017667513393,-1.70713515325664,NaN,NaN
223.590551168,-1.71445239750341,-1.7692990725091,-1.84370195324156,-1.74105700370668,NaN,NaN
223.591551168,-1.74820175269812,-1.80466733714771,-1.87736084295599,-1.77529625982713,NaN,NaN
223.592551168,-1.75272427089895,-1.8453987158861,-1.91115101319335,-1.80986651772017,NaN,NaN
223.593551168,-1.80492775023399,-1.89161578522708,-1.9450682013899,-1.84477780825115,NaN,NaN
223.594551168,-1.92512638871155,-1.94268530373187,-1.97910583515478,-1.88002879367013,NaN,NaN
223.595551168,-2.01067451664599,-1.99734210132915,-2.01325519087956,-1.91562157045025,NaN,NaN
223.596551168,-2.06950687571651,-2.05402148844936,-2.04750645218641,-1.95154811519915,NaN,NaN
223.597551168,-2.16926929201451,-2.11118589519461,-2.08185012879355,-1.98780683682241,NaN,NaN
223.598551168,-2.14778960875869,-2.16751252402339,-2.11627823042071,-2.0243883521869,NaN,NaN
223.599551168,-2.23926359634974,-2.22190653084041,-2.15078483292373,-2.06129151147155,NaN,NaN
223.600551168,-2.33523686446887,-2.27343713312466,-2.18536596644228,-2.09850776588805,NaN,NaN
223.601551168,-2.34748197609287,-2.32139796350947,-2.22001936410609,-2.13603739829906,NaN,NaN
223.602551168,-2.3504828038303,-2.36540354101451,-2.25474424133852,-2.17387206237353,NaN,NaN
223.603551168,-2.44894568090672,-2.40532324637386,-2.28954087391272,-2.21201255068972,NaN,NaN
223.604551168,-2.45468683041798,-2.44119296698757,-2.32441022752376,-2.25044890832333,NaN,NaN
223.605551168,-2.52543157776806,-2.47325895130295,-2.35935376987054,-2.28918283148493,NaN,NaN
223.606551168,-2.49078348241214,-2.50204305308628,-2.39437324770699,-2.32820002524704,NaN,NaN
223.607551168,-2.56419929906684,-2.52831976978981,-2.42947027685019,-2.36750069293797,NaN,NaN
223.608551168,-2.58342714165672,-2.55307032144737,-2.46464596750034,-2.40707664785712,NaN,NaN
223.609551168,-2.52975628114135,-2.57746228117086,-2.49990100374855,-2.44691156953498,NaN,NaN
223.610551168,-2.58264921073761,-2.60272835115989,-2.53523568415817,-2.48699789814642,NaN,NaN
223.611551168,-2.56107952168723,-2.62992623311954,-2.57064939905354,-2.52732580417053,NaN,NaN
223.612551168,-2.59931918772493,-2.65972552414903,-2.60614006118862,-2.56787969175553,NaN,NaN
223.613551168,-2.6440413017672,-2.69227290759756,-2.64170381046982,-2.60864286723956,NaN,NaN
223.614551168,-2.71128387672275,-2.72716965194594,-2.6773349858116,-2.64959357033247,NaN,NaN
223.615551168,-2.82714724995445,-2.76363951712617,-2.71302657572011,-2.69071216585601,NaN,NaN
223.616551168,-2.82534679090283,-2.8008621298966,-2.74877100002531,-2.73197487227,NaN,NaN
223.617551168,-2.82542735884024,-2.83824013545754,-2.78456051262546,-2.77336140943123,NaN,NaN
223.618551168,-2.86202334346999,-2.87537783307388,-2.82038693527476,-2.81484683589666,NaN,NaN
223.619551168,-2.88916239380331,-2.9118848264917,-2.85624134923906,-2.85640898218012,NaN,NaN
223.620551168,-3.0031069992654,-2.94728138717984,-2.89211446257062,-2.89802038703438,NaN,NaN
223.621551168,-3.04754491922633,-2.98114262247128,-2.92799790358686,-2.93965857308007,NaN,NaN
223.622551168,-3.0168501826227,-3.01335816498721,-2.96388593279111,-2.98129895010219,NaN,NaN
223.623551168,-3.13180379951516,-3.04425846873821,-2.99977677743646,-3.02292620221634,NaN,NaN
223.624551168,-3.00679174582385,-3.0745671629028,-3.03567328650081,-3.06452290009451,NaN,NaN
223.625551168,-3.0397913666368,-3.10517725278041,-3.07158205525323,-3.10608425627646,NaN,NaN
223.626551168,-3.09340980840999,-3.13675654041263,-3.10751033743039,-3.14759700746576,NaN,NaN
223.627551168,-3.17765000884791,-3.16950645239681,-3.1434625833564,-3.18905494311386,NaN,NaN
223.628551168,-3.24967708680943,-3.2033071915289,-3.17943920475784,-3.23043563994248,NaN,NaN
223.629551168,-3.30783671598846,-3.23808006874547,-3.21543783213365,-3.27172578504305,NaN,NaN
223.630551168,-3.28413461685259,-3.27409660146235,-3.25145501131059,-3.31290375240095,NaN,NaN
223.631551168,-3.27585952557546,-3.31201604882478,-3.28748582905319,-3.35395131791338,NaN,NaN
223.632551168,-3.30803192672805,-3.35262126806706,-3.3235208237086,-3.39484238241086,NaN,NaN
223.633551168,-3.38459567596312,-3.39650802874595,-3.35954258783374,-3.43554948276006,NaN,NaN
223.634551168,-3.3967536552124,-3.4439593569101,-3.39552518110741,-3.47602473404263,NaN,NaN
223.635551168,-3.41579243973999,-3.49490969783355,-3.43143654747474,-3.51622856789774,NaN,NaN
223.636551168,-3.48242229658722,-3.54881628438941,-3.46724162840039,-3.55611069863582,NaN,NaN
223.637551168,-3.55963489236103,-3.60451593624841,-3.50290468442653,-3.59562485922654,NaN,NaN
223.638551168,-3.65478958912039,-3.66024952218377,-3.53839100178584,-3.63472262727001,NaN,NaN
223.639551168,-3.78812401140903,-3.71390450252532,-3.57366866699645,-3.6733630352965,NaN,NaN
223.640551168,-3.87757228394937,-3.76345160570651,-3.60871109278052,-3.71150742237023,NaN,NaN
223.641551168,-3.9168915263977,-3.80745593268496,-3.64349981841335,-3.74912923102382,NaN,NaN
223.642551168,-3.88581623416621,-3.84539776113606,-3.67802555928918,-3.78620776227204,NaN,NaN
223.643551168,-3.86978916316515,-3.87760135681045,-3.71228657952715,-3.82273553627276,NaN,NaN
223.644551168,-3.8973201381819,-3.90486646279023,-3.74628595234886,-3.85870443177314,NaN,NaN
223.645551168,-3.96774998585445,-3.92813986252005,-3.78002973240949,-3.89411685763415,NaN,NaN
223.646551168,-3.94235045290607,-3.94844148874425,-3.81352636642113,-3.92897275129003,NaN,NaN
223.647551168,-3.96431130994497,-3.96689995897627,-3.84678604847817,-3.96327923952414,NaN,NaN
223.648551168,-3.97655329535701,-3.98470420331723,-3.87981924789554,-3.99703984363977,NaN,NaN
223.649551168,-3.99590148367452,-4.00301797651289,-3.91263498597968,-4.03026260229567,NaN,NaN
223.650551168,-3.95234110578002,-4.02290159235253,-3.94523945378475,-4.06294872744597,NaN,NaN
223.651551168,-4.00292593646197,-4.04516215803292,-3.97763513376223,-4.09510101872175,NaN,NaN
223.652551168,-4.00166772594087,-4.07016789904331,-4.00982019254143,-4.12671416473831,NaN,NaN
223.653551168,-4.06724984712921,-4.09775385669505,-4.0417876364769,-4.15778367563716,NaN,NaN
223.654551168,-4.11921713760576,-4.12726386879422,-4.07352465600416,-4.18829546560842,NaN,NaN
223.655551168,-4.18974585838497,-4.15772748770047,-4.10501336814768,-4.2182359802821,NaN,NaN
223.656551168,-4.22008229935819,-4.18812469951018,-4.13623303609164,-4.24758505488863,NaN,NaN
223.657551168,-4.20780707236464,-4.21759121763459,-4.16716231776118,-4.27632739949503,NaN,NaN
223.658551168,-4.24084860412099,-4.24543143821633,-4.19778014186369,-4.3044444578998,NaN,NaN
223.659551168,-4.25583418939698,-4.27099233157212,-4.22806526428619,-4.33192228091134,NaN,NaN
223.660551168,-4.34503303877333,-4.2935932618848,-4.25799582920149,-4.35874371995139,NaN,NaN
223.661551168,-4.31546119239101,-4.31260994365275,-4.28755000632205,-4.38489624460731,NaN,NaN
223.662551168,-4.40172485311813,-4.32762508212235,-4.31670760828761,-4.41036531230595,NaN,NaN
223.663551168,-4.39041286274198,-4.33857123516984,-4.3454521481371,-4.435146001573,NaN,NaN
223.664551168,-4.35836385091415,-4.34583866455803,-4.37377247518621,-4.45923403075076,NaN,NaN
223.665551168,-4.34294384959763,-4.35022863072491,-4.40166269012107,-4.48263621254227,NaN,NaN
