t;z;z0
109.691;2.37606;NaN
109.692;2.37979;NaN
109.693;2.38292;NaN
109.694;2.38355;NaN
109.695;2.38355;NaN
109.696;2.38355;NaN
109.697;2.39098;NaN
109.698;2.39419;NaN
109.699;2.39588;NaN
109.7;2.39601;NaN
109.701;2.39602;NaN
109.702;2.3963;NaN
109.703;2.39636;NaN
109.704;2.39597;NaN
109.705;2.39523;NaN
109.706;2.39444;NaN
109.707;2.39324;NaN
109.708;2.39209;NaN
109.709;2.3907;NaN
109.71;2.38889;NaN
109.711;2.38723;NaN
109.712;2.3869;NaN
109.713;2.38615;NaN
109.714;2.38271;NaN
109.715;2.37969;NaN
109.716;2.37619;NaN
109.717;2.37255;NaN
109.718;2.36869;NaN
109.719;2.36428;NaN
109.72;2.35924;NaN
109.721;2.35459;NaN
109.722;2.34807;NaN
109.723;2.34201;NaN
109.724;2.33572;NaN
109.725;2.32497;NaN
109.726;2.31667;NaN
109.727;2.30908;NaN
109.728;2.30091;NaN
109.729;2.29223;NaN
109.73;2.2901;NaN
109.731;2.28335;NaN
109.732;2.27264;NaN
109.733;2.26402;NaN
109.734;2.2552;NaN
109.735;2.24459;NaN
109.736;2.2352;NaN
109.737;2.22408;NaN
109.738;2.20511;NaN
109.739;2.18907;NaN
109.74;2.17435;NaN
109.741;2.15891;NaN
109.742;2.14376;NaN
109.743;2.12812;NaN
109.744;2.11273;NaN
109.745;2.09904;NaN
109.746;2.08453;NaN
109.747;2.08142;NaN
109.748;2.05857;NaN
109.749;2.0348;NaN
109.75;2.01954;NaN
109.751;2.00266;NaN
109.752;1.98379;NaN
109.753;1.96346;NaN
109.754;1.94406;NaN
109.755;1.92434;NaN
109.756;1.90651;NaN
109.757;1.88488;NaN
109.758;1.86343;NaN
109.759;1.83177;NaN
109.76;1.80526;NaN
109.761;1.78061;NaN
109.762;1.75836;NaN
109.763;1.7324;NaN
109.764;1.70687;NaN
109.765;1.68193;NaN
109.766;1.6566;NaN
109.767;1.63529;NaN
109.768;1.6307;NaN
109.769;1.60921;NaN
109.77;1.58344;NaN
109.771;1.54457;NaN
109.772;1.51411;NaN
109.773;1.48707;NaN
109.774;1.45636;NaN
109.775;1.42974;NaN
109.776;1.40081;NaN
109.777;1.37202;NaN
109.778;1.34571;NaN
109.779;1.31765;NaN
109.78;1.27265;NaN
109.781;1.24194;NaN
109.782;1.21085;NaN
109.783;1.20474;NaN
109.784;1.17232;NaN
109.785;1.14658;NaN
109.786;1.12093;NaN
109.787;1.08696;NaN
109.788;1.05689;NaN
