t,xp,xb
146.124,0.107221363570537,0.412525032009885
146.125,0.108510084556607,0.41824816428579
146.126,0.109827456575108,0.425155007872852
146.127,0.111991270314871,0.429699164832489
146.128,0.113332175588212,0.433835275375256
146.129,0.114655960237044,0.4386719400107
146.13,0.116126309548365,0.443651862894136
146.131,0.1162051432207,0.448887462397698
146.132,0.117582570036039,0.454182438430329
146.133,0.119019241409406,0.458325691177422
146.134,0.120398096840305,0.462346899458014
146.135,0.121707121877087,0.467454040704446
146.136,0.123140561891682,0.47361962149353
146.137,0.124625324764725,0.479196242559108
146.138,0.125876217306017,0.484405703890686
146.139,0.127850249420962,0.489895803439781
146.14,0.129037746244188,0.495484570248663
146.141,0.130223857918638,0.499368007918467
146.142,0.131519951279838,0.503130187075483
146.143,0.132737151422974,0.507845168790108
146.144,0.133910001649653,0.512803330908707
146.145,0.133952180987292,0.517719317666939
146.146,0.136197804928761,0.522623334713276
146.147,0.136335747912615,0.526970606933377
146.148,0.136335747912615,0.531146636391422
146.149,0.139226951244836,0.536159822715038
146.15,0.140533302044912,0.542321543703177
146.151,0.141832713340093,0.548257885342135
146.152,0.143064093945622,0.554038572035608
146.153,0.144241946210765,0.557207035924522
146.154,0.145425725951804,0.560351748859827
146.155,0.146696744480166,0.564790746195859
146.156,0.148540230349732,0.570356659708796
146.157,0.149790932703717,0.57633179106383
146.158,0.150959823054512,0.582684163994276
146.159,0.152118634007761,0.586558486334354
146.16,0.153387840922983,0.590432808674541
146.161,0.15464248487373,0.594934500847311
146.162,0.155841779729828,0.599454094382564
146.163,0.155935987187922,0.604114422394704
146.164,0.157246520041824,0.608785621245449
146.165,0.158412422020249,0.612721021223625
146.166,0.159628184715241,0.616613507089303
146.167,0.161464919102063,0.621956517058332
146.168,0.162659779965954,0.628196411738684
146.169,0.163962361418196,0.632831567333621
146.17,0.165158856906536,0.637291013835046
146.171,0.166246647847565,0.641752789696352
146.172,0.167454683317212,0.64621491513577
146.173,0.168664670410073,0.650688166171305
146.174,0.169824715286399,0.655165312615184
146.175,0.171080929018766,0.659742679141482
146.176,0.172711818908593,0.66436914126189
146.177,0.173833908302215,0.668815777873818
146.178,0.174974034132367,0.673196782793847
146.179,0.175034031320904,0.678092259346938
146.18,0.176011917750832,0.683233762702318
146.181,0.177067658620137,0.687614977047549
146.182,0.178090787903967,0.691937563201495
146.183,0.179160018167971,0.696274851793587
146.184,0.180199756854823,0.700613927937895
146.185,0.181263610697075,0.704932854781078
146.186,0.182771879067882,0.70924807922629
146.187,0.183817697422625,0.713581689314853
146.188,0.184655190795951,0.717919575653118
146.189,0.185689059234083,0.722465226473908
146.19,0.186576558325921,0.727054501377509
146.191,0.187592480101634,0.731551706076088
146.192,0.188463260658675,0.736023176559394
146.193,0.189473893022608,0.740357392810528
146.194,0.19036445898836,0.74463598247644
146.195,0.19170286190608,0.748974859408959
146.196,0.192595010915261,0.753344924295902
146.197,0.192664971714029,0.757669679432063
146.198,0.193465633263595,0.761967011439165
146.199,0.194354657963104,0.766594308861775
146.2,0.195153738412039,0.771504698549645
146.201,0.19592783732761,0.775797056404097
146.202,0.196739843203413,0.779917403048381
146.203,0.197508023862592,0.784089127305977
146.204,0.198350679733344,0.78827673758976
146.205,0.199100706084648,0.792369744783901
146.206,0.200172761050081,0.79642773969992
146.207,0.200933863355058,0.800878915774139
146.208,0.201592669082658,0.805521305934979
146.209,0.202280054292481,0.809990389044979
146.21,0.202905973247261,0.814409084974838
146.211,0.203577482676526,0.818579082026106
146.212,0.204180256299122,0.822702372642086
146.213,0.204789095787084,0.826735494557754
146.214,0.205726635604662,0.830740070678533
146.215,0.205780022478195,0.834977529715336
146.216,0.206328382183094,0.839337769968353
146.217,0.206904872747038,0.843668088332466
146.218,0.207455333353451,0.847986840047856
146.219,0.208000402867023,0.851938290553534
146.22,0.208499328812392,0.855817453304895
146.221,0.209002791819378,0.859963804842842
146.222,0.209732730643559,0.864175591456934
146.223,0.210316127190412,0.868026518484722
146.224,0.21079073280195,0.871776826198138
146.225,0.211235509364446,0.876467362886581
146.226,0.211659488386173,0.882184164142786
146.227,0.21208271293498,0.88515045141871
146.228,0.212509268575908,0.888102702070278
146.229,0.212877696159319,0.891872111254625
146.23,0.212895533667332,0.895942014492063
146.231,0.21324107570567,0.900036913097187
146.232,0.213598180895593,0.904143052094634
146.233,0.213945223403919,0.908606751119649
146.234,0.214368856681791,0.913276093298469
146.235,0.214718959724992,0.916946480370604
146.236,0.215038106795815,0.920498045180672
146.237,0.215318851717594,0.924680305199912
146.238,0.215562744898038,0.929065031410544
146.239,0.21579569145388,0.932913307626242
146.24,0.216003822509685,0.936723555414578
146.241,0.216199375710578,0.940386731074323
146.242,0.216473278245021,0.944034870473431
146.243,0.216683595831613,0.947879624936293
146.244,0.216873516148813,0.951778203267822
146.245,0.216886308872516,0.955557938684493
146.246,0.217169272783179,0.959302645619019
146.247,0.217192055529197,0.96319873827688
146.248,0.217343898678627,0.967171840048046
146.249,0.217514153651288,0.971065080330888
146.25,0.21766012771825,0.97491520091763
146.251,0.217753707347444,0.978913904833211
146.252,0.217872609225243,0.983018466538931
146.253,0.217982747422878,0.986683658293983
146.254,0.218061356540289,0.990217131869049
146.255,0.218126776056361,0.993955393511496
146.256,0.218195766642306,0.997795247426292
146.257,0.218229888990623,1.00181115281841
146.258,0.218302897629607,1.00593058932654
146.259,0.218332092622528,1.00957948735713
146.26,0.218384929761189,1.01310798451593
146.261,0.218448170664954,1.0167533918381
146.262,0.218477593776943,1.02045606194546
146.263,0.218478219201483,1.0245508548669
146.264,0.218528986979544,1.02883779152215
146.265,0.218588243388808,1.03192276896043
146.266,0.218643073110216,1.03487302202804
146.267,0.218670500517289,1.03862938889058
146.268,0.218691606773447,1.04256303960324
146.269,0.218718578890823,1.04615106728627
146.27,0.218714734337968,1.04966413712693
146.271,0.218728863285862,1.05309532768787
146.272,0.21873611080616,1.05650863335616
146.273,0.218730893225463,1.06044933166324
146.274,0.218745127022274,1.06454368736317
146.275,0.218760512851842,1.06807427284986
146.276,0.218756022926844,1.07140079387629
146.277,0.218770693764951,1.07492065885517
146.278,0.218765658191998,1.07858960897265
146.279,0.218765319247416,1.08224511460693
146.28,0.218759803542402,1.08589268709616
146.281,0.218754097158531,1.08933177486296
146.282,0.218768659024302,1.09266787024534
