%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1554455016558975370,162475,1554455016558916826,base_link,-14.199591,0.239843,-11.202427,0.025991,0.871107,0.056145
1554455016560974693,162476,1554455016560919342,base_link,-14.079278,0.296901,-11.810048,0.025519,0.869025,0.062922
1554455016562985158,162477,1554455016562931570,base_link,-14.038275,0.220983,-11.643234,0.024714,0.868875,0.061695
1554455016564993117,162478,1554455016564935426,base_link,-14.142122,0.225509,-11.225447,0.024014,0.869181,0.057574
1554455016566994813,162479,1554455016566933267,base_link,-14.142125,0.240911,-11.200484,0.024123,0.869561,0.056105
1554455016569005105,162480,1554455016568948855,base_link,-14.115963,0.15843,-11.121875,0.025505,0.869716,0.056578
1554455016571043314,162481,1554455016570954096,base_link,-14.091033,0.231113,-10.580764,0.025409,0.871466,0.051261
1554455016572739191,162482,1554455016572671205,base_link,-14.062928,0.234635,-10.662984,0.025455,0.869746,0.051854
1554455016574738476,162483,1554455016574679905,base_link,-14.087109,0.271715,-11.01395,0.024394,0.869189,0.054473
1554455016576748605,162484,1554455016576688810,base_link,-14.11256,0.272554,-11.226586,0.024371,0.870157,0.057591
1554455016579029370,162485,1554455016578978553,base_link,-14.114381,0.307943,-11.226292,0.025899,0.86904,0.057176
1554455016580752120,162486,1554455016580690157,base_link,-14.108583,0.178585,-11.61783,0.023068,0.869705,0.060625
1554455016582783635,162487,1554455016582705783,base_link,-14.165042,0.32552,-11.641597,0.025322,0.870958,0.060657
1554455016584787537,162488,1554455016584712093,base_link,-14.099732,0.26761,-11.268539,0.025309,0.868728,0.058
1554455016586791192,162489,1554455016586728912,base_link,-14.113379,0.207306,-11.22457,0.02456,0.870116,0.057172
1554455016588791501,162490,1554455016588724877,base_link,-14.057709,0.190527,-11.162965,0.025141,0.869718,0.056777
1554455016590800042,162491,1554455016590733918,base_link,-14.087419,0.3021,-10.912629,0.024608,0.869975,0.054092
1554455016592808330,162492,1554455016592740370,base_link,-14.060386,0.312943,-10.701199,0.025684,0.871875,0.050811
1554455016594821119,162493,1554455016594747012,base_link,-14.071577,0.245653,-11.053835,0.023907,0.870021,0.054465
1554455016596823245,162494,1554455016596761397,base_link,-14.085541,0.257579,-11.204984,0.024934,0.869191,0.057174
1554455016598802969,162495,1554455016598746306,base_link,-14.073033,0.215713,-11.123523,0.025944,0.869459,0.056795
1554455016600859838,162496,1554455016600774712,base_link,-14.110085,0.26271,-11.648682,0.02622,0.869409,0.062772
1554455016602859542,162497,1554455016602792551,base_link,-14.094969,0.220073,-11.677851,0.02562,0.870205,0.059803
1554455016604889992,162498,1554455016604790801,base_link,-14.126162,0.265885,-11.328745,0.02463,0.870057,0.057985
