%time,field.header.seq,field.header.stamp,field.header.frame_id,field.wrench.force.x,field.wrench.force.y,field.wrench.force.z,field.wrench.torque.x,field.wrench.torque.y,field.wrench.torque.z
1555680892293626910,276969,1555680892293536055,base_link,-17.999374,1.425252,-10.715442,0.0469,0.825279,0.023735
1555680892295651914,276970,1555680892295570859,base_link,-18.013802,1.481112,-10.654953,0.047598,0.825988,0.023346
1555680892297666983,276971,1555680892297580431,base_link,-17.952941,1.552107,-11.032162,0.047494,0.824496,0.027448
1555680892299653606,276972,1555680892299582094,base_link,-17.967424,1.496551,-11.111379,0.047735,0.824173,0.027212
1555680892301668748,276973,1555680892301593592,base_link,-17.99598,1.511465,-11.110067,0.0491,0.825522,0.026399
1555680892303689437,276974,1555680892303607643,base_link,-17.9469,1.495487,-11.695131,0.046766,0.823117,0.033147
1555680892305683418,276975,1555680892305614364,base_link,-17.949063,1.4445,-11.508802,0.046414,0.823091,0.031929
1555680892307687542,276976,1555680892307623555,base_link,-17.96655,1.463612,-11.177629,0.047827,0.824735,0.028894
1555680892309698544,276977,1555680892309629054,base_link,-18.025425,1.400414,-11.150344,0.047653,0.823744,0.027191
1555680892311696434,276978,1555680892311623432,base_link,-17.980622,1.469597,-11.067715,0.046252,0.825007,0.026578
1555680892313714623,276979,1555680892313645028,base_link,-18.002312,1.456341,-10.443206,0.046476,0.824531,0.020839
1555680892315724416,276980,1555680892315653306,base_link,-18.029274,1.489927,-10.595557,0.047966,0.825529,0.023574
1555680892317733561,276981,1555680892317669807,base_link,-17.941423,1.511369,-10.90766,0.048189,0.823808,0.026432
1555680892319748727,276982,1555680892319678421,base_link,-17.981633,1.486641,-11.031873,0.047012,0.824653,0.027654
1555680892321759048,276983,1555680892321689218,base_link,-17.912776,1.481297,-11.073053,0.04961,0.823406,0.027459
1555680892323758794,276984,1555680892323696724,base_link,-17.903948,1.470023,-11.71785,0.047273,0.823576,0.033792
1555680892325787239,276985,1555680892325704223,base_link,-18.003496,1.490158,-11.548005,0.046361,0.825597,0.031306
1555680892327930990,276986,1555680892327720223,base_link,-18.024257,1.398447,-11.175629,0.047963,0.825087,0.028473
1555680892329767312,276987,1555680892329681973,base_link,-17.996196,1.429633,-11.112496,0.048531,0.82548,0.027449
1555680892331614586,276988,1555680892331490949,base_link,-17.953708,1.456745,-11.191066,0.049078,0.824239,0.026787
1555680892333824901,276989,1555680892333742123,base_link,-17.972931,1.487412,-10.490711,0.048007,0.825895,0.022346
1555680892335907204,276990,1555680892335756304,base_link,-17.956038,1.464019,-10.65214,0.046249,0.825572,0.022905
1555680892337873104,276991,1555680892337767345,base_link,-17.953174,1.468388,-10.987876,0.046915,0.825201,0.026617
1555680892339853790,276992,1555680892339765623,base_link,-17.925051,1.439181,-11.091507,0.047055,0.823655,0.027631
1555680892341861596,276993,1555680892341776428,base_link,-17.995967,1.475198,-10.969732,0.047888,0.826462,0.026859
1555680892343901603,276994,1555680892343786932,base_link,-17.989284,1.537337,-11.774124,0.04798,0.82362,0.032295
1555680892345885703,276995,1555680892345802330,base_link,-17.963144,1.502103,-11.608704,0.049051,0.824173,0.030889
1555680892347597347,276996,1555680892347516228,base_link,-17.99442,1.481451,-11.275703,0.048244,0.824737,0.02802
1555680892349639520,276997,1555680892349530833,base_link,-17.968905,1.431675,-11.053045,0.047604,0.823576,0.028069
1555680892351723762,276998,1555680892351537044,base_link,-17.912332,1.43158,-10.99171,0.046693,0.822611,0.028068
1555680892353634334,276999,1555680892353545092,base_link,-18.043811,1.400358,-10.568989,0.046044,0.824795,0.022488
1555680892355721437,277000,1555680892355552433,base_link,-18.0147,1.448668,-10.595126,0.047051,0.825403,0.023773
1555680892357646693,277001,1555680892357562301,base_link,-17.996636,1.477749,-10.984363,0.04726,0.824924,0.025558
1555680892359654830,277002,1555680892359569505,base_link,-17.938127,1.431288,-11.170908,0.046665,0.823928,0.027391
1555680892361631493,277003,1555680892361550656,base_link,-17.994779,1.48136,-11.230343,0.047601,0.824345,0.026751
1555680892363661056,277004,1555680892363582720,base_link,-18.004723,1.495212,-11.692151,0.048318,0.82408,0.031907
1555680892365678898,277005,1555680892365596484,base_link,-17.977739,1.477621,-11.531039,0.047581,0.823505,0.032153
1555680892367729687,277006,1555680892367645954,base_link,-18.010286,1.489686,-11.196831,0.049252,0.824665,0.028268
1555680892369676606,277007,1555680892369608919,base_link,-17.981406,1.470206,-11.109636,0.048184,0.825396,0.026598
1555680892371682013,277008,1555680892371618785,base_link,-17.982842,1.423466,-11.13169,0.04882,0.824424,0.027225
1555680892373694326,277009,1555680892373627860,base_link,-18.00074,1.407231,-10.524416,0.04517,0.824683,0.021433
1555680892375711099,277010,1555680892375644115,base_link,-18.000086,1.359649,-10.649345,0.04548,0.824657,0.02267
1555680892377707625,277011,1555680892377645839,base_link,-17.98306,1.48711,-10.985315,0.047658,0.824264,0.025768
1555680892379684093,277012,1555680892379626748,base_link,-18.009662,1.420802,-11.087901,0.04685,0.825367,0.026584
1555680892381704672,277013,1555680892381641126,base_link,-17.995955,1.411188,-10.990709,0.046477,0.82547,0.027669
1555680892383753308,277014,1555680892383683432,base_link,-17.960881,1.470027,-11.733825,0.047541,0.824149,0.032523
1555680892385757398,277015,1555680892385681988,base_link,-17.990264,1.467057,-11.609527,0.048141,0.82549,0.031313
1555680892387759840,277016,1555680892387693420,base_link,-17.951108,1.551536,-11.194637,0.048777,0.826012,0.027435
1555680892389791587,277017,1555680892389702873,base_link,-17.93748,1.475985,-11.069466,0.046982,0.825864,0.026814
1555680892391900657,277018,1555680892391718612,base_link,-17.997168,1.449818,-11.172079,0.048987,0.823773,0.027205
1555680892393894672,277019,1555680892393732284,base_link,-18.017019,1.498518,-10.445434,0.047075,0.82409,0.021263
1555680892395861782,277020,1555680892395739161,base_link,-18.030894,1.492274,-10.554834,0.047979,0.824011,0.023569
1555680892397944695,277021,1555680892397761803,base_link,-17.994969,1.47725,-11.09,0.047578,0.825879,0.026811
1555680892399836814,277022,1555680892399728455,base_link,-17.924965,1.471914,-11.090536,0.047283,0.823672,0.02721
1555680892401878764,277023,1555680892401756016,base_link,-17.967678,1.479292,-11.030549,0.046652,0.823975,0.027431
1555680892403876875,277024,1555680892403785464,base_link,-17.975294,1.428147,-11.709446,0.047238,0.824594,0.031473
1555680892405612917,277025,1555680892405488837,base_link,-17.890362,1.475691,-11.609413,0.04733,0.824232,0.031507
1555680892407600021,277026,1555680892407500476,base_link,-17.952449,1.408508,-11.251394,0.047134,0.823628,0.027369
1555680892409578370,277027,1555680892409511294,base_link,-17.997236,1.462643,-10.989408,0.047474,0.824357,0.027034
1555680892411607553,277028,1555680892411524223,base_link,-17.996812,1.44814,-11.136566,0.048977,0.824548,0.028495
1555680892413591361,277029,1555680892413511050,base_link,-17.914747,1.523006,-10.691307,0.048947,0.825125,0.021871
1555680892415657304,277030,1555680892415545699,base_link,-17.97268,1.475159,-10.65198,0.048237,0.824543,0.022496
1555680892417744951,277031,1555680892417557553,base_link,-17.996855,1.526348,-10.947471,0.04792,0.825156,0.026215
1555680892419642080,277032,1555680892419559889,base_link,-17.96734,1.527515,-11.029534,0.04731,0.824573,0.026812
1555680892421704257,277033,1555680892421567464,base_link,-17.996353,1.512413,-11.052786,0.047819,0.824389,0.027654
1555680892423653664,277034,1555680892423575650,base_link,-18.003871,1.50952,-11.67159,0.048099,0.82504,0.031709
1555680892425661997,277035,1555680892425588952,base_link,-17.934406,1.436332,-11.591919,0.047656,0.823753,0.032355
1555680892427680746,277036,1555680892427599033,base_link,-18.037745,1.422704,-11.214142,0.048119,0.825572,0.027833
1555680892429668406,277037,1555680892429606343,base_link,-17.966825,1.494485,-11.050424,0.046759,0.824743,0.027223
1555680892431644355,277038,1555680892431576752,base_link,-17.980586,1.483668,-11.030439,0.047317,0.826362,0.027044
1555680892433656341,277039,1555680892433589635,base_link,-18.029434,1.422537,-10.568985,0.047823,0.826429,0.021899
