time,force,virtual
147.65649024,4.98949877780295,NaN
147.65749024,4.89337961194258,NaN
147.65849024,4.79687869136783,NaN
147.65949024,4.70034158157108,NaN
147.66049024,4.6043622542866,NaN
147.66149024,4.50963061304163,NaN
147.66249024,4.41684368504009,NaN
147.66349024,4.32670886574235,NaN
147.66449024,4.23999223702193,NaN
147.66549024,4.15751812162249,NaN
147.66649024,4.08011298410465,NaN
147.66749024,4.00855604421578,NaN
147.66849024,3.94345064170076,NaN
147.66949024,3.88504289235806,NaN
147.67049024,3.83321559851417,NaN
147.67149024,3.78765431493965,NaN
147.67249024,3.74800362520707,NaN
147.67349024,3.71387373648613,NaN
147.67449024,3.68459345850555,NaN
147.67549024,3.65888314691201,NaN
147.67649024,3.63483953168987,NaN
147.67749024,3.61034247561792,NaN
147.67849024,3.58361723604891,NaN
147.67949024,3.5536342864146,NaN
147.68049024,3.52020354264649,NaN
147.68149024,3.48380075638129,NaN
147.68249024,3.44528579297929,NaN
147.68349024,3.40570382849433,NaN
147.68449024,3.36626803596581,NaN
147.68549024,3.32840599110268,NaN
147.68649024,3.29364976878807,NaN
147.68749024,3.26340172070929,NaN
147.68849024,3.23880093850105,NaN
147.68949024,3.2207025209335,NaN
147.69049024,3.20959028800691,NaN
147.69149024,3.20542050395196,NaN
147.69249024,3.2075771421626,NaN
147.69349024,3.21499785256462,NaN
147.69449024,3.22639015263039,NaN
147.69549024,3.24044969480239,NaN
147.69649024,3.25597631796656,NaN
147.69749024,3.2718699997371,NaN
147.69849024,3.28712259616027,NaN
147.69949024,3.30087768907768,NaN
147.70049024,3.31260333825465,NaN
147.70149024,3.32235311851359,NaN
147.70249024,3.33085379727306,NaN
147.70349024,3.33922488891229,NaN
147.70449024,3.34854008766495,NaN
147.70549024,3.35961453465386,NaN
147.70649024,3.37311864730521,NaN
147.70749024,3.38973342085989,NaN
147.70849024,3.41005967195948,NaN
147.70949024,3.4343595012923,NaN
147.71049024,3.46241371854265,NaN
147.71149024,3.49361327418706,NaN
147.71249024,3.52719650995279,NaN
147.71349024,3.56246426220934,NaN
147.71449024,3.59887863505749,NaN
147.71549024,3.63604836969558,NaN
147.71649024,3.67362413472733,NaN
147.71749024,3.71123299317956,NaN
147.71849024,3.74849885087492,NaN
147.71949024,3.78499219809749,NaN
147.72049024,3.82019979557459,NaN
147.72149024,3.85379643747383,NaN
147.72249024,3.88601599362495,NaN
147.72349024,3.91768418633766,NaN
147.72449024,3.94994096526471,NaN
147.72549024,3.9838835946776,NaN
147.72649024,4.0202617443837,NaN
147.72749024,4.05933248432814,3.9053955703873
147.72849024,4.10089227611045,3.9431776506641
147.72949024,4.14439806391964,3.98132742989618
